"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","290","[c]","27810","27570"
"Leaver CS","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","20","[c]","75240","71870"
"Leaver CS","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","40","[c]","57470","56540"
"Leaver CS","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","110","[c]","34730","33370"
"Leaver CS","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","85","[c]","43170","42000"
"Leaver CS","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","80","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Hampshire and Isle of Wight","AA/AO","AA","185","[c]","19450","19170"
"Leaver CS","2022","South East (England)","Hampshire and Isle of Wight","AA/AO","AO","485","[c]","21960","21010"
"Leaver CS","2022","South East (England)","Hampshire and Isle of Wight","EO","EO","350","[c]","26640","26930"
"Leaver CS","2022","South East (England)","Hampshire and Isle of Wight","G6/G7","G6","25","[c]","69190","65800"
"Leaver CS","2022","South East (England)","Hampshire and Isle of Wight","G6/G7","G7","85","[c]","55110","54540"
"Leaver CS","2022","South East (England)","Hampshire and Isle of Wight","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Hampshire and Isle of Wight","SEO/HEO","HEO","215","[c]","32690","32180"
"Leaver CS","2022","South East (England)","Hampshire and Isle of Wight","SEO/HEO","SEO","140","[c]","42390","40580"
"Leaver CS","2022","South East (England)","Hampshire and Isle of Wight","Unknown","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Kent","AA/AO","AA","85","[c]","19260","19120"
"Leaver CS","2022","South East (England)","Kent","AA/AO","AO","320","[c]","23280","23130"
"Leaver CS","2022","South East (England)","Kent","EO","EO","230","[c]","29000","29290"
"Leaver CS","2022","South East (England)","Kent","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Kent","G6/G7","G7","30","[c]","54520","53160"
"Leaver CS","2022","South East (England)","Kent","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Kent","SEO/HEO","HEO","40","[c]","34140","33400"
"Leaver CS","2022","South East (England)","Kent","SEO/HEO","SEO","25","[c]","42240","40860"
"Leaver CS","2022","South East (England)","Kent","Unknown","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Surrey, East and West Sussex","AA/AO","AA","70","[c]","18700","18760"
"Leaver CS","2022","South East (England)","Surrey, East and West Sussex","AA/AO","AO","365","[c]","22090","21260"
"Leaver CS","2022","South East (England)","Surrey, East and West Sussex","EO","EO","280","[c]","28090","27570"
"Leaver CS","2022","South East (England)","Surrey, East and West Sussex","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Surrey, East and West Sussex","G6/G7","G7","30","[c]","57960","54510"
"Leaver CS","2022","South East (England)","Surrey, East and West Sussex","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Surrey, East and West Sussex","SEO/HEO","HEO","60","[c]","34610","33910"
"Leaver CS","2022","South East (England)","Surrey, East and West Sussex","SEO/HEO","SEO","60","[c]","42210","41100"
"Leaver CS","2022","South East (England)","Surrey, East and West Sussex","Unknown","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Cornwall and Isles of Scilly","AA/AO","AA","15","[c]","18970","19050"
"Leaver CS","2022","South West (England)","Cornwall and Isles of Scilly","AA/AO","AO","85","[c]","21200","21260"
"Leaver CS","2022","South West (England)","Cornwall and Isles of Scilly","EO","EO","40","[c]","27430","27570"
"Leaver CS","2022","South West (England)","Cornwall and Isles of Scilly","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Cornwall and Isles of Scilly","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Cornwall and Isles of Scilly","SEO/HEO","HEO","10","[c]","35070","34290"
"Leaver CS","2022","South West (England)","Cornwall and Isles of Scilly","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Cornwall and Isles of Scilly","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Devon","AA/AO","AA","95","[c]","19710","19050"
"Leaver CS","2022","South West (England)","Devon","AA/AO","AO","275","[c]","22530","21260"
"Leaver CS","2022","South West (England)","Devon","EO","EO","155","[c]","26540","27370"
"Leaver CS","2022","South West (England)","Devon","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Devon","G6/G7","G7","40","[c]","52950","53230"
"Leaver CS","2022","South West (England)","Devon","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Devon","SEO/HEO","HEO","85","[c]","34590","33840"
"Leaver CS","2022","South West (England)","Devon","SEO/HEO","SEO","70","[c]","42190","40900"
"Leaver CS","2022","South West (England)","Devon","Unknown","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Dorset and Somerset","AA/AO","AA","45","[c]","19650","19200"
"Leaver CS","2022","South West (England)","Dorset and Somerset","AA/AO","AO","175","[c]","21340","21130"
"Leaver CS","2022","South West (England)","Dorset and Somerset","EO","EO","120","[c]","26990","27570"
"Leaver CS","2022","South West (England)","Dorset and Somerset","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Dorset and Somerset","G6/G7","G7","15","[c]","55600","56790"
"Leaver CS","2022","South West (England)","Dorset and Somerset","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Dorset and Somerset","SEO/HEO","HEO","80","[c]","33430","33500"
"Leaver CS","2022","South West (England)","Dorset and Somerset","SEO/HEO","SEO","45","[c]","43300","42520"
"Leaver CS","2022","South West (England)","Dorset and Somerset","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","AA","150","[c]","18880","19100"
"Leaver CS","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","AO","425","[c]","22420","21130"
"Leaver CS","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","EO","615","[c]","25330","26580"
"Leaver CS","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","G6","65","[c]","70290","67370"
"Leaver CS","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","G7","205","[c]","53960","54190"
"Leaver CS","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","SCS level","35","[c]","102170","94780"
"Leaver CS","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","HEO","490","[c]","31830","32220"
"Leaver CS","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","SEO","440","[c]","40830","40580"
"Leaver CS","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Unknown","185","[c]","39060","38150"
"Leaver CS","2022","Unknown","Unknown","AA/AO","AA","115","[c]","18480","18310"
"Leaver CS","2022","Unknown","Unknown","AA/AO","AO","270","[c]","21830","21840"
"Leaver CS","2022","Unknown","Unknown","EO","EO","125","[c]","27330","27570"
"Leaver CS","2022","Unknown","Unknown","G6/G7","G6","25","[c]","72780","67940"
"Leaver CS","2022","Unknown","Unknown","G6/G7","G7","55","[c]","58450","56520"
"Leaver CS","2022","Unknown","Unknown","SCS level","SCS level","20","[c]","99780","84560"
"Leaver CS","2022","Unknown","Unknown","SEO/HEO","HEO","70","[c]","33890","33350"
"Leaver CS","2022","Unknown","Unknown","SEO/HEO","SEO","70","[c]","42070","41090"
"Leaver CS","2022","Unknown","Unknown","Unknown","Unknown","485","[c]","35910","33270"
"Leaver CS","2022","Wales","East Wales","AA/AO","AA","65","[c]","18990","19050"
"Leaver CS","2022","Wales","East Wales","AA/AO","AO","710","[c]","20940","20970"
"Leaver CS","2022","Wales","East Wales","EO","EO","320","[c]","26550","26780"
"Leaver CS","2022","Wales","East Wales","G6/G7","G6","30","[c]","70070","71540"
"Leaver CS","2022","Wales","East Wales","G6/G7","G7","75","[c]","56350","55610"
"Leaver CS","2022","Wales","East Wales","SCS level","SCS level","25","[c]","98240","100820"
"Leaver CS","2022","Wales","East Wales","SEO/HEO","HEO","175","[c]","32850","32540"
"Leaver CS","2022","Wales","East Wales","SEO/HEO","SEO","110","[c]","41080","40000"
"Leaver CS","2022","Wales","East Wales","Unknown","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","Wales","West Wales and The Valleys","AA/AO","AA","25","[c]","18780","19200"
"Leaver CS","2022","Wales","West Wales and The Valleys","AA/AO","AO","260","[c]","21320","21260"
"Leaver CS","2022","Wales","West Wales and The Valleys","EO","EO","165","[c]","27510","27570"
"Leaver CS","2022","Wales","West Wales and The Valleys","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","Wales","West Wales and The Valleys","G6/G7","G7","25","[c]","59680","60830"
"Leaver CS","2022","Wales","West Wales and The Valleys","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","West Wales and The Valleys","SEO/HEO","HEO","60","[c]","34120","34290"
"Leaver CS","2022","Wales","West Wales and The Valleys","SEO/HEO","SEO","45","[c]","43160","43200"
"Leaver CS","2022","Wales","West Wales and The Valleys","Unknown","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA/AO","AA","30","[c]","18770","19010"
"Leaver CS","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA/AO","AO","210","[c]","22810","21260"
"Leaver CS","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","EO","EO","145","[c]","27020","27570"
"Leaver CS","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","HEO","20","[c]","31560","32140"
"Leaver CS","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","SEO","15","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Shropshire and Staffordshire","AA/AO","AA","80","[c]","19360","19200"
"Leaver CS","2022","West Midlands (England)","Shropshire and Staffordshire","AA/AO","AO","320","[c]","21130","20970"
"Leaver CS","2022","West Midlands (England)","Shropshire and Staffordshire","EO","EO","210","[c]","27330","27570"
"Leaver CS","2022","West Midlands (England)","Shropshire and Staffordshire","G6/G7","G6","15","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Shropshire and Staffordshire","G6/G7","G7","20","[c]","56710","54540"
"Leaver CS","2022","West Midlands (England)","Shropshire and Staffordshire","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Shropshire and Staffordshire","SEO/HEO","HEO","60","[c]","33570","33300"
"Leaver CS","2022","West Midlands (England)","Shropshire and Staffordshire","SEO/HEO","SEO","40","[c]","44090","44430"
"Leaver CS","2022","West Midlands (England)","Shropshire and Staffordshire","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","West Midlands","AA/AO","AA","40","[c]","18970","19150"
"Leaver CS","2022","West Midlands (England)","West Midlands","AA/AO","AO","510","[c]","21020","21010"
"Leaver CS","2022","West Midlands (England)","West Midlands","EO","EO","415","[c]","26960","27570"
"Leaver CS","2022","West Midlands (England)","West Midlands","G6/G7","G6","40","[c]","70050","68720"
"Leaver CS","2022","West Midlands (England)","West Midlands","G6/G7","G7","105","[c]","53840","52360"
"Leaver CS","2022","West Midlands (England)","West Midlands","SCS level","SCS level","25","[c]","111550","101430"
"Leaver CS","2022","West Midlands (England)","West Midlands","SEO/HEO","HEO","160","[c]","33730","33000"
"Leaver CS","2022","West Midlands (England)","West Midlands","SEO/HEO","SEO","125","[c]","41900","38330"
"Leaver CS","2022","West Midlands (England)","West Midlands","Unknown","Unknown","65","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AA/AO","AA","40","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AA/AO","AO","190","[c]","21360","21260"
"Leaver CS","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","EO","EO","120","[c]","27070","27570"
"Leaver CS","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SEO/HEO","HEO","25","[c]","33680","33300"
"Leaver CS","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","North Yorkshire","AA/AO","AA","30","[c]","19020","19050"
"Leaver CS","2022","Yorkshire and The Humber","North Yorkshire","AA/AO","AO","120","[c]","24140","21300"
"Leaver CS","2022","Yorkshire and The Humber","North Yorkshire","EO","EO","110","[c]","27710","27570"
"Leaver CS","2022","Yorkshire and The Humber","North Yorkshire","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","North Yorkshire","G6/G7","G7","20","[c]","59790","55460"
"Leaver CS","2022","Yorkshire and The Humber","North Yorkshire","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","North Yorkshire","SEO/HEO","HEO","55","[c]","33820","33300"
"Leaver CS","2022","Yorkshire and The Humber","North Yorkshire","SEO/HEO","SEO","35","[c]","40550","40580"
"Leaver CS","2022","Yorkshire and The Humber","North Yorkshire","Unknown","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","South Yorkshire","AA/AO","AA","55","[c]","18720","18240"
"Leaver CS","2022","Yorkshire and The Humber","South Yorkshire","AA/AO","AO","290","[c]","21310","21260"
"Leaver CS","2022","Yorkshire and The Humber","South Yorkshire","EO","EO","165","[c]","27130","27570"
"Leaver CS","2022","Yorkshire and The Humber","South Yorkshire","G6/G7","G6","20","[c]","66940","67090"
"Leaver CS","2022","Yorkshire and The Humber","South Yorkshire","G6/G7","G7","35","[c]","56210","55050"
"Leaver CS","2022","Yorkshire and The Humber","South Yorkshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","South Yorkshire","SEO/HEO","HEO","60","[c]","32740","32740"
"Leaver CS","2022","Yorkshire and The Humber","South Yorkshire","SEO/HEO","SEO","60","[c]","39440","38300"
"Leaver CS","2022","Yorkshire and The Humber","South Yorkshire","Unknown","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","West Yorkshire","AA/AO","AA","115","[c]","18910","19200"
"Leaver CS","2022","Yorkshire and The Humber","West Yorkshire","AA/AO","AO","660","[c]","21200","21260"
"Leaver CS","2022","Yorkshire and The Humber","West Yorkshire","EO","EO","535","[c]","26730","27570"
"Leaver CS","2022","Yorkshire and The Humber","West Yorkshire","G6/G7","G6","45","[c]","66000","65000"
"Leaver CS","2022","Yorkshire and The Humber","West Yorkshire","G6/G7","G7","120","[c]","53960","52610"
"Leaver CS","2022","Yorkshire and The Humber","West Yorkshire","SCS level","SCS level","15","[c]","109050","100070"
"Leaver CS","2022","Yorkshire and The Humber","West Yorkshire","SEO/HEO","HEO","190","[c]","32640","32110"
"Leaver CS","2022","Yorkshire and The Humber","West Yorkshire","SEO/HEO","SEO","160","[c]","39420","38910"
"Leaver CS","2022","Yorkshire and The Humber","West Yorkshire","Unknown","Unknown","80","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","AO","100","[c]","20650","20970"
"Leaver Dept.","2022","East Midlands (England)","Derbyshire and Nottinghamshire","EO","EO","140","[c]","25690","26360"
"Leaver Dept.","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","G6","15","[c]","72660","69840"
"Leaver Dept.","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","G7","35","[c]","51640","50210"
"Leaver Dept.","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","SCS level","10","[c]","99900","103200"
"Leaver Dept.","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","HEO","110","[c]","31160","31040"
"Leaver Dept.","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","SEO","65","[c]","39480","39620"
"Leaver Dept.","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","AO","50","[c]","20560","20970"
"Leaver Dept.","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","EO","30","[c]","25860","27230"
"Leaver Dept.","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","HEO","20","[c]","31570","31990"
"Leaver Dept.","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Lincolnshire","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Lincolnshire","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Lincolnshire","EO","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Lincolnshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Lincolnshire","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Lincolnshire","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Lincolnshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Bedfordshire and Hertfordshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Bedfordshire and Hertfordshire","AA/AO","AO","10","[c]","22890","23470"
"Leaver Dept.","2022","East of England","Bedfordshire and Hertfordshire","EO","EO","35","[c]","28650","29290"
"Leaver Dept.","2022","East of England","Bedfordshire and Hertfordshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Bedfordshire and Hertfordshire","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Bedfordshire and Hertfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Bedfordshire and Hertfordshire","SEO/HEO","HEO","10","[c]","34630","34440"
"Leaver Dept.","2022","East of England","Bedfordshire and Hertfordshire","SEO/HEO","SEO","15","[c]","42440","44500"
"Leaver Dept.","2022","East of England","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","East Anglia","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","East Anglia","AA/AO","AO","90","[c]","21590","21820"
"Leaver Dept.","2022","East of England","East Anglia","EO","EO","100","[c]","25930","25460"
"Leaver Dept.","2022","East of England","East Anglia","G6/G7","G6","20","[c]","71270","66480"
"Leaver Dept.","2022","East of England","East Anglia","G6/G7","G7","45","[c]","51810","50970"
"Leaver Dept.","2022","East of England","East Anglia","SCS level","SCS level","25","[c]","108460","107720"
"Leaver Dept.","2022","East of England","East Anglia","SEO/HEO","HEO","90","[c]","32020","31950"
"Leaver Dept.","2022","East of England","East Anglia","SEO/HEO","SEO","75","[c]","39370","38910"
"Leaver Dept.","2022","East of England","East Anglia","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Essex","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Essex","AA/AO","AO","15","[c]","22130","21750"
"Leaver Dept.","2022","East of England","Essex","EO","EO","40","[c]","27790","29290"
"Leaver Dept.","2022","East of England","Essex","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Essex","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Essex","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Essex","SEO/HEO","HEO","25","[c]","32500","32310"
"Leaver Dept.","2022","East of England","Essex","SEO/HEO","SEO","20","[c]","39380","40060"
"Leaver Dept.","2022","East of England","Essex","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Inner London - East","AA/AO","AA","15","[c]","21400","21650"
"Leaver Dept.","2022","London","Inner London - East","AA/AO","AO","90","[c]","22890","23070"
"Leaver Dept.","2022","London","Inner London - East","EO","EO","395","[c]","28370","27730"
"Leaver Dept.","2022","London","Inner London - East","G6/G7","G6","240","[c]","70370","67370"
"Leaver Dept.","2022","London","Inner London - East","G6/G7","G7","510","[c]","54040","53120"
"Leaver Dept.","2022","London","Inner London - East","SCS level","SCS level","140","[c]","101420","95140"
"Leaver Dept.","2022","London","Inner London - East","SEO/HEO","HEO","530","[c]","32880","32330"
"Leaver Dept.","2022","London","Inner London - East","SEO/HEO","SEO","480","[c]","40530","40070"
"Leaver Dept.","2022","London","Inner London - East","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Inner London - West","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Inner London - West","AA/AO","AO","140","[c]","24010","23770"
"Leaver Dept.","2022","London","Inner London - West","EO","EO","735","[c]","28570","28310"
"Leaver Dept.","2022","London","Inner London - West","G6/G7","G6","505","[c]","66940","66230"
"Leaver Dept.","2022","London","Inner London - West","G6/G7","G7","1340","[c]","55250","54700"
"Leaver Dept.","2022","London","Inner London - West","SCS level","SCS level","365","[c]","87610","79050"
"Leaver Dept.","2022","London","Inner London - West","SEO/HEO","HEO","1915","[c]","33690","33710"
"Leaver Dept.","2022","London","Inner London - West","SEO/HEO","SEO","970","[c]","41470","40940"
"Leaver Dept.","2022","London","Inner London - West","Unknown","Unknown","85","[c]","47580","53100"
"Leaver Dept.","2022","London","Outer London - East and North East","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Outer London - East and North East","AA/AO","AO","15","[c]","24690","25110"
"Leaver Dept.","2022","London","Outer London - East and North East","EO","EO","65","[c]","30770","31060"
"Leaver Dept.","2022","London","Outer London - East and North East","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Outer London - East and North East","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Outer London - East and North East","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Outer London - East and North East","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Outer London - East and North East","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Outer London - South","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Outer London - South","AA/AO","AO","25","[c]","24550","24850"
"Leaver Dept.","2022","London","Outer London - South","EO","EO","115","[c]","29980","30700"
"Leaver Dept.","2022","London","Outer London - South","G6/G7","G6","15","[c]","69630","68830"
"Leaver Dept.","2022","London","Outer London - South","G6/G7","G7","25","[c]","58860","57680"
"Leaver Dept.","2022","London","Outer London - South","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Outer London - South","SEO/HEO","HEO","95","[c]","34290","35050"
"Leaver Dept.","2022","London","Outer London - South","SEO/HEO","SEO","55","[c]","42540","41970"
"Leaver Dept.","2022","London","Outer London - South","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Outer London - West and North West","AA/AO","AA","60","[c]","21380","22350"
"Leaver Dept.","2022","London","Outer London - West and North West","AA/AO","AO","135","[c]","24250","23780"
"Leaver Dept.","2022","London","Outer London - West and North West","EO","EO","305","[c]","28100","27710"
"Leaver Dept.","2022","London","Outer London - West and North West","G6/G7","G6","80","[c]","72350","68520"
"Leaver Dept.","2022","London","Outer London - West and North West","G6/G7","G7","200","[c]","54850","53860"
"Leaver Dept.","2022","London","Outer London - West and North West","SCS level","SCS level","50","[c]","118700","108800"
"Leaver Dept.","2022","London","Outer London - West and North West","SEO/HEO","HEO","230","[c]","33430","32650"
"Leaver Dept.","2022","London","Outer London - West and North West","SEO/HEO","SEO","250","[c]","41380","40570"
"Leaver Dept.","2022","London","Outer London - West and North West","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Northumberland, and Tyne and Wear","AA/AO","AO","265","[c]","21070","21260"
"Leaver Dept.","2022","North East (England)","Northumberland, and Tyne and Wear","EO","EO","220","[c]","26880","27570"
"Leaver Dept.","2022","North East (England)","Northumberland, and Tyne and Wear","G6/G7","G6","15","[c]","64710","63030"
"Leaver Dept.","2022","North East (England)","Northumberland, and Tyne and Wear","G6/G7","G7","55","[c]","51190","50390"
"Leaver Dept.","2022","North East (England)","Northumberland, and Tyne and Wear","SCS level","SCS level","15","[c]","106070","103990"
"Leaver Dept.","2022","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","HEO","115","[c]","31380","31990"
"Leaver Dept.","2022","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","SEO","85","[c]","38550","37300"
"Leaver Dept.","2022","North East (England)","Northumberland, and Tyne and Wear","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Tees Valley and Durham","AA/AO","AO","90","[c]","21480","21260"
"Leaver Dept.","2022","North East (England)","Tees Valley and Durham","EO","EO","50","[c]","27020","27570"
