"Status","Year","Age","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Declared disabled","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Communications","50","45","32910","32670"
"In post","2022","20-29","Declared disabled","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Operational Delivery","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Tax","35","30","28990","26820"
"In post","2022","20-29","Declared disabled","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","Counter Fraud","75","75","26900","27570"
"In post","2022","20-29","Declared disabled","Counter Fraud","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","Legal","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","Operational Delivery","30","30","24660","21260"
"In post","2022","20-29","Declared disabled","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","Tax","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Debt","Operational Delivery","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Debt","Other","30","30","21990","21260"
"In post","2022","20-29","Declared disabled","Debt","Tax","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
