"Status","Year","Disability","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Unknown","Outside London","Heterosexual / straight","3885","3645","31610","27230"
"In post","2022","Declared disabled","Unknown","Outside London","LGBO","455","440","32970","27910"
"In post","2022","Declared disabled","Unknown","Outside London","Undeclared","530","495","31610","27230"
"In post","2022","Declared disabled","Unknown","Outside London","Unknown","225","210","33860","29200"
"In post","2022","Declared disabled","Unknown","Overseas","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","London","Heterosexual / straight","2075","2015","50890","47590"
"In post","2022","Declared non-disabled","Analysis","London","LGBO","180","180","48250","45250"
"In post","2022","Declared non-disabled","Analysis","London","Undeclared","160","150","50330","47590"
"In post","2022","Declared non-disabled","Analysis","London","Unknown","90","90","50500","44950"
"In post","2022","Declared non-disabled","Analysis","Outside London","Heterosexual / straight","2115","2010","39720","36840"
"In post","2022","Declared non-disabled","Analysis","Outside London","LGBO","180","175","36080","33080"
"In post","2022","Declared non-disabled","Analysis","Outside London","Undeclared","155","150","38070","36840"
"In post","2022","Declared non-disabled","Analysis","Outside London","Unknown","720","690","39200","38070"
"In post","2022","Declared non-disabled","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
