"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Human Resources","London","EO","Male","125","120","29100","28680"
"In post","2022","Human Resources","London","G6/G7","Female","595","575","60950","59660"
"In post","2022","Human Resources","London","G6/G7","Male","285","280","61620","59730"
"In post","2022","Human Resources","London","SCS level","Female","85","85","87990","80420"
"In post","2022","Human Resources","London","SCS level","Male","50","45","85810","79500"
"In post","2022","Human Resources","London","SEO/HEO","Female","825","795","38790","37930"
"In post","2022","Human Resources","London","SEO/HEO","Male","385","380","39510","38660"
"In post","2022","Human Resources","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outside London","AA/AO","Female","840","750","21740","21380"
"In post","2022","Human Resources","Outside London","AA/AO","Male","290","285","21740","21380"
"In post","2022","Human Resources","Outside London","EO","Female","940","855","26690","26670"
"In post","2022","Human Resources","Outside London","EO","Male","355","350","27260","26930"
"In post","2022","Human Resources","Outside London","G6/G7","Female","855","820","55580","54540"
"In post","2022","Human Resources","Outside London","G6/G7","Male","345","340","56380","55210"
"In post","2022","Human Resources","Outside London","SCS level","Female","65","65","85300","79050"
"In post","2022","Human Resources","Outside London","SCS level","Male","25","25","[c]","[c]"
"In post","2022","Human Resources","Outside London","SEO/HEO","Female","2150","2020","35370","33680"
"In post","2022","Human Resources","Outside London","SEO/HEO","Male","900","875","36120","35310"
"In post","2022","Human Resources","Outside London","Unknown","Female","25","25","[c]","[c]"
"In post","2022","Human Resources","Outside London","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Human Resources","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Human Resources","Overseas","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Human Resources","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Human Resources","Overseas","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Human Resources","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2022","Human Resources","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","G6/G7","Female","25","20","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","SEO/HEO","Female","40","40","49900","51360"
"In post","2022","Inspector of Education and Training","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Outside London","G6/G7","Female","305","300","74790","75500"
"In post","2022","Inspector of Education and Training","Outside London","G6/G7","Male","200","195","76370","75500"
"In post","2022","Inspector of Education and Training","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Outside London","SEO/HEO","Female","300","290","50400","51360"
"In post","2022","Inspector of Education and Training","Outside London","SEO/HEO","Male","40","40","50740","51360"
"In post","2022","Intelligence Analysis","London","AA/AO","Female","35","30","25470","25630"
"In post","2022","Intelligence Analysis","London","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","Intelligence Analysis","London","EO","Female","215","195","29890","29250"
"In post","2022","Intelligence Analysis","London","EO","Male","245","235","30120","29250"
"In post","2022","Intelligence Analysis","London","G6/G7","Female","55","50","60060","58550"
"In post","2022","Intelligence Analysis","London","G6/G7","Male","100","100","61860","59730"
"In post","2022","Intelligence Analysis","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","London","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Intelligence Analysis","London","SEO/HEO","Female","200","195","38970","37640"
"In post","2022","Intelligence Analysis","London","SEO/HEO","Male","355","350","40640","39420"
"In post","2022","Intelligence Analysis","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Outside London","AA/AO","Female","40","35","21500","21680"
"In post","2022","Intelligence Analysis","Outside London","AA/AO","Male","30","25","[c]","[c]"
"In post","2022","Intelligence Analysis","Outside London","EO","Female","600","555","26610","26590"
"In post","2022","Intelligence Analysis","Outside London","EO","Male","525","510","26920","26480"
"In post","2022","Intelligence Analysis","Outside London","G6/G7","Female","25","25","[c]","[c]"
"In post","2022","Intelligence Analysis","Outside London","G6/G7","Male","30","30","56040","55210"
"In post","2022","Intelligence Analysis","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Outside London","SEO/HEO","Female","280","270","34260","33300"
"In post","2022","Intelligence Analysis","Outside London","SEO/HEO","Male","385","385","34860","33300"
"In post","2022","Intelligence Analysis","Outside London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Outside London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","EO","Female","[c]","[c]","[c]","[c]"
