"Status","Year","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Education and Skills Funding Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","G7","35","35","51140","50400"
"In post","2022","Declared disabled","Education and Skills Funding Agency","HEO","50","45","30660","30200"
"In post","2022","Declared disabled","Education and Skills Funding Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","SEO","60","60","38090","37100"
"In post","2022","Declared disabled","Education Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","EO","30","30","27650","26750"
"In post","2022","Declared disabled","Food Standards Agency","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","HEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","SEO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AO","55","50","26210","25000"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","EO","95","90","30040","30580"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","G6","80","75","67140","67720"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","G7","170","165","55250","55060"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","195","190","35830","35700"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","30","30","83320","77060"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SEO","75","75","42660","43300"
"In post","2022","Declared disabled","Forestry and Land Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","SEO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Government Legal Department","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Government Legal Department","EO","35","35","29580","29280"
"In post","2022","Declared disabled","Government Legal Department","G6","60","50","67730","66020"
"In post","2022","Declared disabled","Government Legal Department","G7","65","65","52220","51250"
"In post","2022","Declared disabled","Government Legal Department","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Government Legal Department","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Government Legal Department","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Property Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Property Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Property Agency","G6","5","5","[c]","[c]"
