"Status","Year","Age","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","40-49","Overseas","Overseas","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Overseas","Overseas","Male","15","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Scotland","Outside London","Female","255","[c]","31770","27570"
"Leaver CS","2022","40-49","Scotland","Outside London","Male","205","[c]","36460","29510"
"Leaver CS","2022","40-49","South East (England)","Outside London","Female","340","[c]","31850","27610"
"Leaver CS","2022","40-49","South East (England)","Outside London","Male","295","[c]","34630","29290"
"Leaver CS","2022","40-49","South West (England)","Outside London","Female","275","[c]","34820","28360"
"Leaver CS","2022","40-49","South West (England)","Outside London","Male","270","[c]","38060","35680"
"Leaver CS","2022","40-49","Unknown","Unknown","Female","95","[c]","33220","27530"
"Leaver CS","2022","40-49","Unknown","Unknown","Male","85","[c]","34500","27570"
"Leaver CS","2022","40-49","Wales","Outside London","Female","130","[c]","29650","25100"
"Leaver CS","2022","40-49","Wales","Outside London","Male","125","[c]","36380","27570"
"Leaver CS","2022","40-49","West Midlands (England)","Outside London","Female","230","[c]","33760","27570"
"Leaver CS","2022","40-49","West Midlands (England)","Outside London","Male","160","[c]","34420","27570"
"Leaver CS","2022","40-49","Yorkshire and The Humber","Outside London","Female","245","[c]","32340","27570"
"Leaver CS","2022","40-49","Yorkshire and The Humber","Outside London","Male","200","[c]","38400","28870"
"Leaver CS","2022","50-59","East Midlands (England)","Outside London","Female","295","[c]","28950","27570"
"Leaver CS","2022","50-59","East Midlands (England)","Outside London","Male","185","[c]","36220","27570"
"Leaver CS","2022","50-59","East of England","Outside London","Female","300","[c]","33510","27570"
"Leaver CS","2022","50-59","East of England","Outside London","Male","295","[c]","34390","29050"
"Leaver CS","2022","50-59","London","London","Female","740","[c]","46570","39410"
"Leaver CS","2022","50-59","London","London","Male","645","[c]","51610","43850"
"Leaver CS","2022","50-59","North East (England)","Outside London","Female","315","[c]","30510","26120"
"Leaver CS","2022","50-59","North East (England)","Outside London","Male","165","[c]","33630","27570"
"Leaver CS","2022","50-59","North West (England)","Outside London","Female","570","[c]","31380","27180"
"Leaver CS","2022","50-59","North West (England)","Outside London","Male","375","[c]","34120","27570"
"Leaver CS","2022","50-59","Northern Ireland","Outside London","Female","30","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Northern Ireland","Outside London","Male","25","[c]","[c]","[c]"
