"Status","Year","Age","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","EO","70","70","25930","25100"
"In post","2022","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","125","125","33620","32560"
"In post","2022","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for International Trade","EO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for International Trade","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for International Trade","SEO/HEO","40","40","34900","32120"
"In post","2022","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","EO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","G6/G7","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","SEO/HEO","65","65","35040","33210"
"In post","2022","20-29","Declared disabled","Department for Transport","AA/AO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Transport","EO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Transport","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Transport","SEO/HEO","40","40","34900","34710"
"In post","2022","20-29","Declared disabled","Department for Work and Pensions","AA/AO","475","460","21600","21260"
"In post","2022","20-29","Declared disabled","Department for Work and Pensions","EO","665","650","28310","27570"
"In post","2022","20-29","Declared disabled","Department for Work and Pensions","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Work and Pensions","SEO/HEO","90","90","34580","34640"
"In post","2022","20-29","Declared disabled","Department of Health and Social Care","AA/AO","35","30","21350","20480"
"In post","2022","20-29","Declared disabled","Department of Health and Social Care","EO","35","35","25700","26880"
"In post","2022","20-29","Declared disabled","Department of Health and Social Care","G6/G7","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department of Health and Social Care","SEO/HEO","80","80","32840","32790"
"In post","2022","20-29","Declared disabled","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Food Standards Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Foreign, Commonwealth and Development Office","EO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","75","75","36210","35700"
"In post","2022","20-29","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","HM Land Registry","AA/AO","40","40","22570","22600"
"In post","2022","20-29","Declared disabled","HM Land Registry","EO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","HM Land Registry","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","HM Revenue and Customs","AA/AO","175","165","21430","21250"
"In post","2022","20-29","Declared disabled","HM Revenue and Customs","EO","155","150","27090","26820"
"In post","2022","20-29","Declared disabled","HM Revenue and Customs","G6/G7","30","30","[c]","[c]"
"In post","2022","20-29","Declared disabled","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","HM Revenue and Customs","SEO/HEO","180","180","34750","33370"
"In post","2022","20-29","Declared disabled","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","HM Treasury","EO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","HM Treasury","G6/G7","30","30","[c]","[c]"
