"Status","Year","Age","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","16-19","Department for Work and Pensions (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Public Health England","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Public Health England","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Advisory, Conciliation and Arbitration Service","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Advisory, Conciliation and Arbitration Service","Outside London","10","[c]","23530","24250"
"Leaver Dept.","2022","20-29","Animal and Plant Health Agency","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Animal and Plant Health Agency","Outside London","10","[c]","23870","21300"
"Leaver Dept.","2022","20-29","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Cabinet Office (excl. agencies)","London","655","[c]","34890","32000"
"Leaver Dept.","2022","20-29","Cabinet Office (excl. agencies)","Outside London","80","[c]","30160","32000"
"Leaver Dept.","2022","20-29","Cabinet Office (excl. agencies)","Unknown","160","[c]","32790","32000"
"Leaver Dept.","2022","20-29","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Companies House","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Companies House","Outside London","15","[c]","28190","29910"
"Leaver Dept.","2022","20-29","Competition and Markets Authority","London","25","[c]","29410","28160"
"Leaver Dept.","2022","20-29","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Crown Commercial Service","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Crown Office and Procurator Fiscal Service","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Crown Prosecution Service","London","20","[c]","25790","24590"
"Leaver Dept.","2022","20-29","Crown Prosecution Service","Outside London","20","[c]","24240","23720"
"Leaver Dept.","2022","20-29","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Defence Equipment and Support","Outside London","135","[c]","26680","27540"
"Leaver Dept.","2022","20-29","Defence Science and Technology Laboratory","Outside London","25","[c]","30050","29230"
"Leaver Dept.","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","190","[c]","38290","33640"
"Leaver Dept.","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","15","[c]","30960","30360"
"Leaver Dept.","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","30","[c]","41010","38160"
"Leaver Dept.","2022","20-29","Department for Digital, Culture, Media and Sport","London","95","[c]","37090","34020"
"Leaver Dept.","2022","20-29","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Education (excl. agencies)","London","85","[c]","38630","36120"
"Leaver Dept.","2022","20-29","Department for Education (excl. agencies)","Outside London","65","[c]","31290","29360"
"Leaver Dept.","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","London","120","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","30","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for International Trade","London","100","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","London","125","[c]","35480","33210"
"Leaver Dept.","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","10","[c]","26430","24830"
"Leaver Dept.","2022","20-29","Department for Transport (excl. agencies)","London","125","[c]","38330","34710"
"Leaver Dept.","2022","20-29","Department for Transport (excl. agencies)","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Work and Pensions (excl. agencies)","London","205","[c]","32550","31060"
"Leaver Dept.","2022","20-29","Department for Work and Pensions (excl. agencies)","Outside London","645","[c]","26760","27570"
"Leaver Dept.","2022","20-29","Department for Work and Pensions (excl. agencies)","Unknown","10","[c]","27310","27570"
"Leaver Dept.","2022","20-29","Department of Health and Social Care (excl. agencies)","London","275","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department of Health and Social Care (excl. agencies)","Outside London","85","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department of Health and Social Care (excl. agencies)","Unknown","60","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Driver and Vehicle Licensing Agency","Unknown","35","[c]","23370","21840"
"Leaver Dept.","2022","20-29","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Driver and Vehicle Standards Agency","Outside London","30","[c]","24940","21840"
"Leaver Dept.","2022","20-29","Education and Skills Funding Agency","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Education and Skills Funding Agency","Outside London","15","[c]","29620","28100"
"Leaver Dept.","2022","20-29","Food Standards Agency","London","15","[c]","39690","40350"
"Leaver Dept.","2022","20-29","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Food Standards Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","London","85","[c]","35040","37840"
"Leaver Dept.","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","15","[c]","31960","32310"
"Leaver Dept.","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Legal Department","London","25","[c]","29980","27350"
"Leaver Dept.","2022","20-29","Government Property Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Property Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Health and Safety Executive","Outside London","15","[c]","25340","21150"
"Leaver Dept.","2022","20-29","HM Courts and Tribunals Service","London","80","[c]","26370","23720"
"Leaver Dept.","2022","20-29","HM Courts and Tribunals Service","Outside London","145","[c]","21370","20970"
"Leaver Dept.","2022","20-29","HM Prison and Probation Service","London","55","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Prison and Probation Service","Outside London","120","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Revenue and Customs (excl. agencies)","London","80","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Revenue and Customs (excl. agencies)","Outside London","355","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Treasury (excl. agencies)","London","90","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Home Office","London","245","[c]","36900","35070"
"Leaver Dept.","2022","20-29","Home Office","Outside London","190","[c]","24540","24880"
"Leaver Dept.","2022","20-29","Home Office","Overseas","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Intellectual Property Office","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal Aid Agency","Outside London","10","[c]","21820","20970"
"Leaver Dept.","2022","20-29","Maritime and Coastguard Agency","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Medicines and Healthcare Products Regulatory Agency","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Met Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Ministry of Defence (excl. agencies)","London","75","[c]","35670","35820"
"Leaver Dept.","2022","20-29","Ministry of Defence (excl. agencies)","Outside London","90","[c]","29490","26670"
"Leaver Dept.","2022","20-29","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Ministry of Justice (excl. agencies)","London","110","[c]","35830","34310"
"Leaver Dept.","2022","20-29","Ministry of Justice (excl. agencies)","Outside London","30","[c]","29880","29660"
"Leaver Dept.","2022","20-29","National Crime Agency","London","15","[c]","38030","39840"
"Leaver Dept.","2022","20-29","National Crime Agency","Outside London","10","[c]","35340","28840"
"Leaver Dept.","2022","20-29","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office for Standards in Education, Children's Services and Skills","Outside London","10","[c]","25550","25880"
"Leaver Dept.","2022","20-29","Office of Gas and Electricity Markets","London","25","[c]","31070","27500"
"Leaver Dept.","2022","20-29","Office of Gas and Electricity Markets","Outside London","25","[c]","26100","23700"
"Leaver Dept.","2022","20-29","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of the Public Guardian","Outside London","45","[c]","21750","20970"
"Leaver Dept.","2022","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of the Secretary of State for Wales","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Planning Inspectorate","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Public Health England","London","590","[c]","31620","32330"
"Leaver Dept.","2022","20-29","Public Health England","Outside London","685","[c]","26000","23390"
"Leaver Dept.","2022","20-29","Registers of Scotland","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Rural Payments Agency","Outside London","25","[c]","22420","21300"
"Leaver Dept.","2022","20-29","Scottish Courts and Tribunals Service","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scottish Forestry","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scottish Government (excl. agencies)","Outside London","10","[c]","35370","35400"
"Leaver Dept.","2022","20-29","Serious Fraud Office","London","15","[c]","32790","31680"
"Leaver Dept.","2022","20-29","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Submarine Delivery Agency","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Teaching Regulation Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","The Insolvency Service","Outside London","20","[c]","24580","21130"
"Leaver Dept.","2022","20-29","The National Archives","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Transport Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","UK Export Finance","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","UK Health Security Agency","London","15","[c]","37330","32650"
"Leaver Dept.","2022","20-29","UK Statistics Authority","London","20","[c]","33360","33210"
"Leaver Dept.","2022","20-29","UK Statistics Authority","Outside London","75","[c]","30140","29540"
"Leaver Dept.","2022","20-29","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Valuation Office Agency","Outside London","15","[c]","24600","22040"
"Leaver Dept.","2022","20-29","Veterinary Medicines Directorate","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Welsh Government (excl. agencies)","Outside London","25","[c]","27880","27400"
"Leaver Dept.","2022","20-29","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Advisory, Conciliation and Arbitration Service","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Animal and Plant Health Agency","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Attorney General's Office","London","10","[c]","45130","42410"
"Leaver Dept.","2022","30-39","Cabinet Office (excl. agencies)","London","405","[c]","48820","54700"
"Leaver Dept.","2022","30-39","Cabinet Office (excl. agencies)","Outside London","65","[c]","34980","32000"
"Leaver Dept.","2022","30-39","Cabinet Office (excl. agencies)","Unknown","90","[c]","45360","34550"
"Leaver Dept.","2022","30-39","Centre for Environment, Fisheries and Aquaculture Science","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Charity Commission","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Companies House","Outside London","20","[c]","31310","35160"
"Leaver Dept.","2022","30-39","Competition and Markets Authority","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Criminal Injuries Compensation Authority","Outside London","10","[c]","23250","22100"
"Leaver Dept.","2022","30-39","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Commercial Service","Outside London","15","[c]","38890","38980"
"Leaver Dept.","2022","30-39","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Office and Procurator Fiscal Service","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Prosecution Service","London","10","[c]","46850","46400"
"Leaver Dept.","2022","30-39","Crown Prosecution Service","Outside London","20","[c]","32300","30130"
"Leaver Dept.","2022","30-39","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Defence Equipment and Support","Outside London","115","[c]","33260","33570"
"Leaver Dept.","2022","30-39","Defence Science and Technology Laboratory","Outside London","20","[c]","42360","47010"
"Leaver Dept.","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","155","[c]","49560","53380"
"Leaver Dept.","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","10","[c]","40530","38600"
"Leaver Dept.","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","15","[c]","56260","61860"
"Leaver Dept.","2022","30-39","Department for Digital, Culture, Media and Sport","London","70","[c]","49900","51930"
"Leaver Dept.","2022","30-39","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department for Education (excl. agencies)","London","65","[c]","48350","49730"
"Leaver Dept.","2022","30-39","Department for Education (excl. agencies)","Outside London","80","[c]","40360","36870"
"Leaver Dept.","2022","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","London","70","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","55","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department for International Trade","London","75","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","London","80","[c]","47010","45970"
"Leaver Dept.","2022","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","15","[c]","36030","36340"
"Leaver Dept.","2022","30-39","Department for Transport (excl. agencies)","London","80","[c]","46560","44030"
"Leaver Dept.","2022","30-39","Department for Transport (excl. agencies)","Outside London","10","[c]","37820","38650"
"Leaver Dept.","2022","30-39","Department for Work and Pensions (excl. agencies)","London","125","[c]","36720","31060"
"Leaver Dept.","2022","30-39","Department for Work and Pensions (excl. agencies)","Outside London","710","[c]","27570","27570"
"Leaver Dept.","2022","30-39","Department for Work and Pensions (excl. agencies)","Unknown","15","[c]","30600","27570"
"Leaver Dept.","2022","30-39","Department of Health and Social Care (excl. agencies)","London","195","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department of Health and Social Care (excl. agencies)","Outside London","70","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department of Health and Social Care (excl. agencies)","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Driver and Vehicle Licensing Agency","Unknown","50","[c]","27460","26410"
"Leaver Dept.","2022","30-39","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Driver and Vehicle Standards Agency","Outside London","35","[c]","30300","27570"
"Leaver Dept.","2022","30-39","Education and Skills Funding Agency","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Education and Skills Funding Agency","Outside London","15","[c]","33620","36500"
"Leaver Dept.","2022","30-39","Estyn","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Food Standards Agency","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Food Standards Agency","Outside London","15","[c]","41490","37910"
"Leaver Dept.","2022","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","London","130","[c]","49480","43970"
"Leaver Dept.","2022","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","25","[c]","37670","33930"
"Leaver Dept.","2022","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","15","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Government Legal Department","London","30","[c]","50830","51250"
"Leaver Dept.","2022","30-39","Government Property Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Government Property Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Health and Safety Executive","Outside London","15","[c]","38870","39360"
"Leaver Dept.","2022","30-39","HM Courts and Tribunals Service","London","40","[c]","32490","28310"
"Leaver Dept.","2022","30-39","HM Courts and Tribunals Service","Outside London","80","[c]","24900","20970"
"Leaver Dept.","2022","30-39","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","HM Prison and Probation Service","London","40","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","HM Prison and Probation Service","Outside London","120","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","HM Revenue and Customs (excl. agencies)","London","80","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","HM Revenue and Customs (excl. agencies)","Outside London","340","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","HM Treasury (excl. agencies)","London","75","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Home Office","London","235","[c]","45270","41970"
"Leaver Dept.","2022","30-39","Home Office","Outside London","265","[c]","27460","24890"
"Leaver Dept.","2022","30-39","Home Office","Overseas","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Intellectual Property Office","Outside London","15","[c]","40960","34500"
"Leaver Dept.","2022","30-39","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Legal Aid Agency","Outside London","15","[c]","25360","25120"
"Leaver Dept.","2022","30-39","Maritime and Coastguard Agency","Outside London","15","[c]","30610","31040"
"Leaver Dept.","2022","30-39","Medicines and Healthcare Products Regulatory Agency","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Medicines and Healthcare Products Regulatory Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Met Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Met Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Ministry of Defence (excl. agencies)","London","60","[c]","47210","45200"
"Leaver Dept.","2022","30-39","Ministry of Defence (excl. agencies)","Outside London","120","[c]","33160","33300"
"Leaver Dept.","2022","30-39","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Ministry of Justice (excl. agencies)","London","105","[c]","40660","39380"
"Leaver Dept.","2022","30-39","Ministry of Justice (excl. agencies)","Outside London","45","[c]","38210","36050"
"Leaver Dept.","2022","30-39","National Crime Agency","London","15","[c]","43540","41900"
"Leaver Dept.","2022","30-39","National Crime Agency","Outside London","20","[c]","35450","36740"
"Leaver Dept.","2022","30-39","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","National Records of Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Northern Ireland Office","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Office for Standards in Education, Children's Services and Skills","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Office for Standards in Education, Children's Services and Skills","Outside London","15","[c]","44240","39850"
"Leaver Dept.","2022","30-39","Office of Gas and Electricity Markets","London","15","[c]","49790","50380"
"Leaver Dept.","2022","30-39","Office of Gas and Electricity Markets","Outside London","20","[c]","37560","32480"
"Leaver Dept.","2022","30-39","Office of Qualifications and Examinations Regulation","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Office of the Public Guardian","Outside London","55","[c]","24410","21170"
"Leaver Dept.","2022","30-39","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Planning Inspectorate","Outside London","10","[c]","30900","32780"
"Leaver Dept.","2022","30-39","Public Health England","London","745","[c]","42260","40070"
"Leaver Dept.","2022","30-39","Public Health England","Outside London","780","[c]","36160","34170"
"Leaver Dept.","2022","30-39","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Rural Payments Agency","Outside London","15","[c]","27100","25010"
"Leaver Dept.","2022","30-39","Scottish Courts and Tribunals Service","Outside London","10","[c]","31230","27120"
"Leaver Dept.","2022","30-39","Scottish Forestry","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Scottish Government (excl. agencies)","Outside London","10","[c]","47550","47490"
"Leaver Dept.","2022","30-39","Serious Fraud Office","London","15","[c]","40460","40270"
"Leaver Dept.","2022","30-39","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Standards and Testing Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Teaching Regulation Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","The Insolvency Service","Outside London","30","[c]","28100","24260"
"Leaver Dept.","2022","30-39","The National Archives","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Transport Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","UK Export Finance","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","UK Health Security Agency","London","10","[c]","41520","40070"
"Leaver Dept.","2022","30-39","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","UK Statistics Authority","London","15","[c]","39330","37820"
"Leaver Dept.","2022","30-39","UK Statistics Authority","Outside London","65","[c]","33940","30810"
"Leaver Dept.","2022","30-39","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
