"Status","Year","Organisation","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Animal and Plant Health Agency","Perth and Kinross, and Stirling","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Powys","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Powys","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Redbridge and Waltham Forest","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Redbridge and Waltham Forest","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scottish Borders","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scottish Borders","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Shropshire","Outside London","Female","20","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Shropshire","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Somerset CC","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Somerset CC","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South and West Derbyshire","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South and West Derbyshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South Ayrshire","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South Ayrshire","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South Lanarkshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South Lanarkshire","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South Nottinghamshire","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South Nottinghamshire","Outside London","Male","5","5","[c]","[c]"
