"Status","Year","Disability","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","Overseas","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","AA/AO","AA","35","[c]","18430","18310"
"Leaver CS","2022","Unknown","Unknown","AA/AO","AO","65","[c]","21590","21840"
"Leaver CS","2022","Unknown","Unknown","EO","EO","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","G6/G7","G7","35","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","SCS level","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","SEO/HEO","HEO","35","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","SEO/HEO","SEO","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","Unknown","445","[c]","36010","33270"
"Leaver Dept.","2022","Declared disabled","London","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","London","AA/AO","AO","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","London","EO","EO","145","[c]","28840","28670"
"Leaver Dept.","2022","Declared disabled","London","G6/G7","G6","45","[c]","66590","65950"
"Leaver Dept.","2022","Declared disabled","London","G6/G7","G7","140","[c]","55640","54700"
"Leaver Dept.","2022","Declared disabled","London","SCS level","SCS level","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","London","SEO/HEO","HEO","185","[c]","34300","34260"
"Leaver Dept.","2022","Declared disabled","London","SEO/HEO","SEO","120","[c]","41210","40600"
"Leaver Dept.","2022","Declared disabled","London","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Outside London","AA/AO","AA","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Outside London","AA/AO","AO","220","[c]","21020","21260"
"Leaver Dept.","2022","Declared disabled","Outside London","EO","EO","350","[c]","26600","27570"
"Leaver Dept.","2022","Declared disabled","Outside London","G6/G7","G6","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Outside London","G6/G7","G7","80","[c]","52070","51080"
"Leaver Dept.","2022","Declared disabled","Outside London","SCS level","SCS level","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Outside London","SEO/HEO","HEO","235","[c]","31470","31990"
"Leaver Dept.","2022","Declared disabled","Outside London","SEO/HEO","SEO","135","[c]","38690","38070"
"Leaver Dept.","2022","Declared disabled","Outside London","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","EO","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
