"Status","Year","Function_of_post","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","G6","10","10","68020","68590"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","G7","45","45","54810","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","HEO","30","30","32890","33210"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","SEO","20","20","41200","42980"
"In post","2022","Analysis","Department for Transport","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Economics","EO","10","10","28880","29970"
"In post","2022","Analysis","Department for Transport","Economics","G6","20","20","66650","66140"
"In post","2022","Analysis","Department for Transport","Economics","G7","60","60","55170","54760"
"In post","2022","Analysis","Department for Transport","Economics","HEO","45","45","33140","34710"
"In post","2022","Analysis","Department for Transport","Economics","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Economics","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Operational Research","AO","20","15","21840","21840"
"In post","2022","Analysis","Department for Transport","Operational Research","EO","15","10","26330","26130"
"In post","2022","Analysis","Department for Transport","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Operational Research","G7","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Operational Research","HEO","20","20","32860","33350"
"In post","2022","Analysis","Department for Transport","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Operational Research","SEO","15","15","40550","39470"
"In post","2022","Analysis","Department for Transport","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Other","G7","20","20","55470","54760"
"In post","2022","Analysis","Department for Transport","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Other","SEO","10","10","41700","42680"
"In post","2022","Analysis","Department for Transport","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","G7","15","15","54470","54110"
"In post","2022","Analysis","Department for Transport","Social Research","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","SEO","15","15","43080","42470"
"In post","2022","Analysis","Department for Transport","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Statistics","EO","15","15","30010","30270"
"In post","2022","Analysis","Department for Transport","Statistics","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Statistics","G7","20","15","55150","54650"
"In post","2022","Analysis","Department for Transport","Statistics","HEO","20","20","35130","35060"
"In post","2022","Analysis","Department for Transport","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Statistics","SEO","20","20","43210","42470"
"In post","2022","Analysis","Department for Transport","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Economics","G7","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Economics","HEO","35","35","34950","35000"
"In post","2022","Analysis","Department for Work and Pensions","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","HEO","10","10","33790","31990"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Research","HEO","15","15","33520","33580"
"In post","2022","Analysis","Department for Work and Pensions","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Policy","EO","25","25","28760","27660"
"In post","2022","Analysis","Department for Work and Pensions","Policy","G6","25","25","68350","66370"
"In post","2022","Analysis","Department for Work and Pensions","Policy","G7","65","60","55890","57230"
"In post","2022","Analysis","Department for Work and Pensions","Policy","HEO","55","55","35980","36650"
"In post","2022","Analysis","Department for Work and Pensions","Policy","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Policy","SEO","50","45","39910","40270"
"In post","2022","Analysis","Department for Work and Pensions","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Security","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Social Research","HEO","40","40","35340","35000"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","G6","15","15","69490","66370"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","G7","65","60","56820","53980"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","HEO","55","55","33480","31990"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","SEO","65","60","38330","36780"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","AO","45","45","22490","21260"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","G7","10","10","57600","57230"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Commercial","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Commercial","HEO","[c]","[c]","[c]","[c]"
