"Status","Year","Age","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","60-64","Valuation Office Agency","HM Revenue and Customs","Human Resources","5","5","[c]","[c]"
"In post","2022","60-64","Valuation Office Agency","HM Revenue and Customs","Operational Delivery","85","75","27580","22040"
"In post","2022","60-64","Valuation Office Agency","HM Revenue and Customs","Policy","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Valuation Office Agency","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Valuation Office Agency","HM Revenue and Customs","Property","255","205","38680","34000"
"In post","2022","60-64","Valuation Office Agency","HM Revenue and Customs","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Vehicle Certification Agency","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Vehicle Certification Agency","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Vehicle Certification Agency","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Vehicle Certification Agency","Department for Transport","Operational Delivery","10","10","[c]","[c]"
"In post","2022","60-64","Vehicle Certification Agency","Department for Transport","Science and Engineering","5","5","[c]","[c]"
"In post","2022","60-64","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Policy","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","Water Services Regulation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","Water Services Regulation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Digital, Data and Technology","10","10","40140","38160"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Finance","25","20","40050","38160"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Human Resources","15","10","37200","38160"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Medicine","10","5","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Operational Delivery","150","130","39690","38160"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Other","55","45","46470","47470"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Planning","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Policy","110","100","46080","38160"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Project Delivery","10","10","50550","47470"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Property","10","5","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Science and Engineering","10","5","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Social Research","5","5","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Welsh Government","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Welsh Revenue Authority","Welsh Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Wilton Park","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Wilton Park","Foreign, Commonwealth and Development Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Wilton Park","Foreign, Commonwealth and Development Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Wilton Park","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Wilton Park","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Accountant in Bankruptcy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","35","25","38980","35120"
"In post","2022","65+","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","50","45","27330","25730"
"In post","2022","65+","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2022","65+","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","20","15","31590","27700"
"In post","2022","65+","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","20","15","49180","51760"
"In post","2022","65+","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","80","65","48640","35320"
"In post","2022","65+","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","65+","Charity Commission","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Charity Commission","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","65+","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","65+","Companies House","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","15","10","23130","22740"
"In post","2022","65+","Companies House","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2022","65+","Companies House","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Competition and Markets Authority","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2022","65+","Competition and Markets Authority","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","65+","Competition and Markets Authority","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Commercial Service","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Commercial Service","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","5","5","[c]","[c]"
"In post","2022","65+","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","30","25","26370","23230"
"In post","2022","65+","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Attorney General's Departments","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Attorney General's Departments","Legal","55","40","60120","60710"
"In post","2022","65+","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","45","35","26060","24180"
"In post","2022","65+","Crown Prosecution Service","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","10","10","28270","28150"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Commercial","15","10","48170","42440"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Other","125","105","28780","25900"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Project Delivery","30","25","45860","42290"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Science and Engineering","90","75","40910","40920"
"In post","2022","65+","Defence Equipment and Support","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","15","10","38110","29260"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","10","10","52630","50970"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","10","5","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","65","45","50060","49180"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Ministry of Defence","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","5","5","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","40","35","48750","44130"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Policy","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Department for Education","Finance","10","5","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Department for Education","Policy","20","15","33950","31140"
"In post","2022","65+","Department for Education (excl. agencies)","Department for Education","Property","10","10","60080","61750"
"In post","2022","65+","Department for Education (excl. agencies)","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","15","10","50110","47550"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Finance","10","10","30190","29720"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Human Resources","5","5","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Policy","45","40","33710","29750"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Property","15","10","33830","28820"
"In post","2022","65+","Department for International Trade","Department for International Trade","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Department for International Trade","International Trade","10","10","58040","58260"
"In post","2022","65+","Department for International Trade","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Operational Delivery","10","10","36940","36340"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Planning","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Policy","10","5","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Finance","5","5","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Operational Delivery","20","15","32680","33390"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Policy","5","5","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Department for Transport","Unknown","15","15","39350","30720"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Commercial","10","5","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Counter Fraud","265","185","27510","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Digital, Data and Technology","70","50","35650","31300"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Finance","15","10","33190","33180"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Human Resources","15","10","31450","29780"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Operational Delivery","2075","1520","25470","26120"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Other","170","125","24450","21260"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Policy","20","15","47110","42480"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Project Delivery","60","40","30070","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Property","5","5","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Security","10","5","28350","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Economics","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Operational Delivery","15","10","40690","29960"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Policy","5","5","[c]","[c]"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Disclosure Scotland","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Operational Delivery","130","80","20480","20460"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Policy","5","5","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Department for Transport","Security","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Standards Agency","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Standards Agency","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Standards Agency","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Standards Agency","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Standards Agency","Department for Transport","Operational Delivery","270","195","27920","26780"
"In post","2022","65+","Driver and Vehicle Standards Agency","Department for Transport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Standards Agency","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Standards Agency","Department for Transport","Policy","5","5","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Standards Agency","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","Education and Skills Funding Agency","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","Education and Skills Funding Agency","Department for Education","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","65+","Education and Skills Funding Agency","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Education and Skills Funding Agency","Department for Education","Operational Delivery","10","10","[c]","[c]"
"In post","2022","65+","Education and Skills Funding Agency","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2022","65+","Education Scotland","Scottish Government","Unknown","15","10","69300","77340"
"In post","2022","65+","Estyn","Estyn","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Estyn","Estyn","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Estyn","Estyn","Inspector of Education and Training","5","0","[c]","[c]"
"In post","2022","65+","FCDO Services","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","65+","FCDO Services","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","65+","FCDO Services","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","FCDO Services","Foreign, Commonwealth and Development Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","65+","FCDO Services","Foreign, Commonwealth and Development Office","Legal","30","15","57830","57540"
"In post","2022","65+","FCDO Services","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","65+","FCDO Services","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","65+","FCDO Services","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","65+","FCDO Services","Foreign, Commonwealth and Development Office","Security","20","15","39200","39090"
"In post","2022","65+","Food Standards Agency","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","65+","Food Standards Agency","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","65+","Food Standards Agency","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Food Standards Agency","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","65+","Food Standards Agency","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","65+","Food Standards Agency","Food Standards Agency","Operational Delivery","35","25","28330","28520"
"In post","2022","65+","Food Standards Agency","Food Standards Agency","Policy","5","5","[c]","[c]"
"In post","2022","65+","Food Standards Agency","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","65+","Food Standards Agency","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","65+","Food Standards Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
