"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Black","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","HM Treasury","SEO/HEO","50","50","36440","34960"
"In post","2022","Black","Home Office","AA/AO","380","330","24270","25630"
"In post","2022","Black","Home Office","EO","720","675","28600","28810"
"In post","2022","Black","Home Office","G6/G7","130","130","60540","57680"
"In post","2022","Black","Home Office","SCS level","5","5","[c]","[c]"
"In post","2022","Black","Home Office","SEO/HEO","560","555","38020","35340"
"In post","2022","Black","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Ministry of Defence","AA/AO","180","175","22930","22480"
"In post","2022","Black","Ministry of Defence","EO","140","140","26470","26670"
"In post","2022","Black","Ministry of Defence","G6/G7","55","55","57720","55550"
"In post","2022","Black","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Ministry of Defence","SEO/HEO","375","370","37330","37000"
"In post","2022","Black","Ministry of Defence","Unknown","15","15","[c]","[c]"
"In post","2022","Black","Ministry of Justice","AA/AO","1745","1655","26420","24310"
"In post","2022","Black","Ministry of Justice","EO","480","470","29800","28310"
"In post","2022","Black","Ministry of Justice","G6/G7","95","95","60760","58210"
"In post","2022","Black","Ministry of Justice","SCS level","5","5","[c]","[c]"
"In post","2022","Black","Ministry of Justice","SEO/HEO","585","575","39710","38370"
"In post","2022","Black","Ministry of Justice","Unknown","1175","1130","31530","28690"
"In post","2022","Black","National Crime Agency","AA/AO","20","20","[c]","[c]"
"In post","2022","Black","National Crime Agency","EO","45","45","34270","32770"
"In post","2022","Black","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","National Crime Agency","SEO/HEO","35","35","42450","40170"
"In post","2022","Black","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Office for Standards in Education, Children's Services and Skills","AA/AO","10","5","[c]","[c]"
"In post","2022","Black","Office for Standards in Education, Children's Services and Skills","EO","5","5","[c]","[c]"
