"Status","Year","Age","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","50-59","Undeclared","No function","SEO/HEO","40","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","No function","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Project Delivery","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Security","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Unknown","AA/AO","55","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Unknown","EO","40","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Unknown","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Unknown","SEO/HEO","30","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Analysis","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Analysis","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Commercial","G6/G7","35","[c]","68370","71000"
"Leaver CS","2022","50-59","Unknown","Commercial","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Commercial","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Communications","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Communications","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Digital, Data & Technology","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Digital, Data & Technology","SEO/HEO","20","[c]","[c]","[c]"
