"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Veterinarian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Veterinarian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Veterinarian","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","30-39","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Commercial","AA/AO","AO","40","35","22250","21840"
"In post","2022","30-39","Commercial","EO","EO","185","175","26270","26350"
"In post","2022","30-39","Commercial","G6/G7","G6","45","45","65280","65390"
"In post","2022","30-39","Commercial","G6/G7","G7","225","215","52030","51730"
"In post","2022","30-39","Commercial","SCS level","SCS level","25","25","77220","74580"
"In post","2022","30-39","Commercial","SEO/HEO","HEO","420","405","32230","32020"
"In post","2022","30-39","Commercial","SEO/HEO","SEO","535","515","40200","40000"
"In post","2022","30-39","Commercial","Unknown","Unknown","60","60","37530","37400"
"In post","2022","30-39","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Communications","AA/AO","AO","25","25","21800","21290"
"In post","2022","30-39","Communications","EO","EO","95","90","27310","26780"
"In post","2022","30-39","Communications","G6/G7","G6","110","105","65310","65920"
"In post","2022","30-39","Communications","G6/G7","G7","270","260","55090","54650"
"In post","2022","30-39","Communications","SCS level","SCS level","15","15","87030","77860"
"In post","2022","30-39","Communications","SEO/HEO","HEO","315","305","34130","33300"
"In post","2022","30-39","Communications","SEO/HEO","SEO","355","345","41640","41380"
"In post","2022","30-39","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Corporate Finance","EO","EO","10","5","[c]","[c]"
"In post","2022","30-39","Corporate Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","30-39","Corporate Finance","G6/G7","G7","10","5","[c]","[c]"
"In post","2022","30-39","Corporate Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Corporate Finance","SEO/HEO","HEO","10","10","35440","35020"
"In post","2022","30-39","Corporate Finance","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","30-39","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Counter Fraud","AA/AO","AO","175","155","22470","21260"
"In post","2022","30-39","Counter Fraud","EO","EO","490","455","27810","27570"
"In post","2022","30-39","Counter Fraud","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","30-39","Counter Fraud","G6/G7","G7","15","15","56150","54230"
"In post","2022","30-39","Counter Fraud","SEO/HEO","HEO","150","145","32810","31990"
"In post","2022","30-39","Counter Fraud","SEO/HEO","SEO","45","45","39710","40000"
"In post","2022","30-39","Digital, Data and Technology","AA/AO","AA","10","10","20810","20380"
"In post","2022","30-39","Digital, Data and Technology","AA/AO","AO","120","115","21920","21260"
"In post","2022","30-39","Digital, Data and Technology","EO","EO","655","640","27410","26820"
"In post","2022","30-39","Digital, Data and Technology","G6/G7","G6","235","230","68920","67710"
"In post","2022","30-39","Digital, Data and Technology","G6/G7","G7","1135","1120","55160","54270"
"In post","2022","30-39","Digital, Data and Technology","SCS level","SCS level","35","35","81760","78080"
"In post","2022","30-39","Digital, Data and Technology","SEO/HEO","HEO","1145","1120","33320","33080"
"In post","2022","30-39","Digital, Data and Technology","SEO/HEO","SEO","1305","1285","41010","40520"
"In post","2022","30-39","Digital, Data and Technology","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Economics","EO","EO","10","10","[c]","[c]"
"In post","2022","30-39","Economics","G6/G7","G6","115","110","68540","67930"
"In post","2022","30-39","Economics","G6/G7","G7","265","255","56280","55530"
"In post","2022","30-39","Economics","SCS level","SCS level","30","30","80700","78000"
"In post","2022","30-39","Economics","SEO/HEO","HEO","55","55","35550","34910"
"In post","2022","30-39","Economics","SEO/HEO","SEO","35","35","41770","40650"
"In post","2022","30-39","Finance","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","30-39","Finance","AA/AO","AO","140","125","21850","21250"
"In post","2022","30-39","Finance","EO","EO","385","360","26820","26670"
"In post","2022","30-39","Finance","G6/G7","G6","175","170","67190","66500"
"In post","2022","30-39","Finance","G6/G7","G7","480","470","54750","54160"
"In post","2022","30-39","Finance","SCS level","SCS level","55","55","80230","75830"
"In post","2022","30-39","Finance","SEO/HEO","HEO","585","560","33190","33080"
"In post","2022","30-39","Finance","SEO/HEO","SEO","635","620","41100","40520"
"In post","2022","30-39","Finance","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Geography","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","30-39","Geography","EO","EO","25","25","26920","26740"
"In post","2022","30-39","Geography","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Geography","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Geography","SEO/HEO","HEO","65","60","33260","33290"
"In post","2022","30-39","Geography","SEO/HEO","SEO","10","10","42280","42510"
"In post","2022","30-39","Human Resources","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","30-39","Human Resources","AA/AO","AO","235","210","22040","21250"
"In post","2022","30-39","Human Resources","EO","EO","395","375","26950","26670"
"In post","2022","30-39","Human Resources","G6/G7","G6","130","130","66550","66230"
"In post","2022","30-39","Human Resources","G6/G7","G7","315","305","53780","54000"
"In post","2022","30-39","Human Resources","SCS level","SCS level","35","35","80490","76200"
"In post","2022","30-39","Human Resources","SEO/HEO","HEO","600","580","32840","32330"
"In post","2022","30-39","Human Resources","SEO/HEO","SEO","425","410","40410","40180"
"In post","2022","30-39","Human Resources","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Inspector of Education and Training","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Inspector of Education and Training","G6/G7","G7","35","35","73260","75500"
"In post","2022","30-39","Inspector of Education and Training","SEO/HEO","SEO","65","65","49800","51360"
"In post","2022","30-39","Intelligence Analysis","AA/AO","AO","10","10","22950","21680"
"In post","2022","30-39","Intelligence Analysis","EO","EO","360","340","27120","26590"
"In post","2022","30-39","Intelligence Analysis","G6/G7","G6","10","10","[c]","[c]"
