"Status","Year","Function_of_post","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Monmouthshire and Newport","Outside London","EO","145","130","24660","23880"
"In post","2022","Analysis","Monmouthshire and Newport","Outside London","G6/G7","260","255","53400","51210"
"In post","2022","Analysis","Monmouthshire and Newport","Outside London","SCS level","15","15","80890","72160"
"In post","2022","Analysis","Monmouthshire and Newport","Outside London","SEO/HEO","775","745","34390","32810"
"In post","2022","Analysis","North and West Norfolk","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North and West Norfolk","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Hampshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Northamptonshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Nottinghamshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Yorkshire CC","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Yorkshire CC","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","North Yorkshire CC","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Nottingham","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Nottingham","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Nottingham","Outside London","SEO/HEO","20","20","36990","36730"
"In post","2022","Analysis","Overseas","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Oxfordshire CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Plymouth","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Plymouth","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Plymouth","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Portsmouth","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Portsmouth","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Portsmouth","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Portsmouth","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Sefton","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Sefton","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Sefton","Outside London","G6/G7","10","10","57430","57510"
"In post","2022","Analysis","Sefton","Outside London","SEO/HEO","10","10","37910","39390"
"In post","2022","Analysis","Sheffield","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2022","Analysis","Sheffield","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Sheffield","Outside London","G6/G7","95","85","57410","53030"
"In post","2022","Analysis","Sheffield","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Sheffield","Outside London","SEO/HEO","95","90","35880","35590"
"In post","2022","Analysis","Somerset CC","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South and West Derbyshire","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","South and West Derbyshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","South and West Derbyshire","Outside London","SEO/HEO","10","10","34390","32010"
"In post","2022","Analysis","South Ayrshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South Hampshire","Outside London","AA/AO","10","10","20010","19860"
"In post","2022","Analysis","South Hampshire","Outside London","EO","55","50","24480","23880"
"In post","2022","Analysis","South Hampshire","Outside London","G6/G7","120","115","53470","51210"
"In post","2022","Analysis","South Hampshire","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","South Hampshire","Outside London","SEO/HEO","335","320","34300","32810"
"In post","2022","Analysis","South Nottinghamshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South Nottinghamshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Southend-on-Sea","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Southend-on-Sea","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Analysis","Southend-on-Sea","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Southend-on-Sea","Outside London","SEO/HEO","10","10","38700","40520"
"In post","2022","Analysis","Staffordshire CC","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Staffordshire CC","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Staffordshire CC","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Staffordshire CC","Outside London","SEO/HEO","15","15","35630","33300"
"In post","2022","Analysis","Stoke-on-Trent","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Suffolk CC","Outside London","AA/AO","25","20","20610","21510"
"In post","2022","Analysis","Suffolk CC","Outside London","EO","60","60","25300","25010"
"In post","2022","Analysis","Suffolk CC","Outside London","G6/G7","65","60","51650","48080"
"In post","2022","Analysis","Suffolk CC","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Suffolk CC","Outside London","SEO/HEO","180","175","33360","32770"
"In post","2022","Analysis","Sunderland","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Swansea","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Swindon","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Swindon","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Telford and Wrekin","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Telford and Wrekin","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Torbay","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tower Hamlets","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Tower Hamlets","London","EO","80","80","28670","28410"
