"Status","Year","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for International Trade","G6","LGBO","20","20","[c]","[c]"
"In post","2022","Department for International Trade","G6","Undeclared","20","20","[c]","[c]"
"In post","2022","Department for International Trade","G6","Unknown","65","65","66220","65710"
"In post","2022","Department for International Trade","G7","Heterosexual / straight","510","505","53390","51970"
"In post","2022","Department for International Trade","G7","LGBO","60","60","54250","51970"
"In post","2022","Department for International Trade","G7","Undeclared","50","50","53000","51970"
"In post","2022","Department for International Trade","G7","Unknown","235","235","53580","51970"
"In post","2022","Department for International Trade","HEO","Heterosexual / straight","365","360","32760","31800"
"In post","2022","Department for International Trade","HEO","LGBO","40","40","32410","31800"
"In post","2022","Department for International Trade","HEO","Undeclared","30","30","33470","32120"
"In post","2022","Department for International Trade","HEO","Unknown","190","190","32720","31820"
"In post","2022","Department for International Trade","SCS level","Heterosexual / straight","125","120","87490","77000"
"In post","2022","Department for International Trade","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Department for International Trade","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Department for International Trade","SCS level","Unknown","35","35","84820","74000"
"In post","2022","Department for International Trade","SEO","Heterosexual / straight","365","365","39820","38540"
"In post","2022","Department for International Trade","SEO","LGBO","50","50","39790","38160"
"In post","2022","Department for International Trade","SEO","Undeclared","30","30","40310","39250"
"In post","2022","Department for International Trade","SEO","Unknown","175","175","40120","38540"
"In post","2022","Department for Levelling Up, Housing and Communities","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","AA","Unknown","5","5","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","AO","Heterosexual / straight","115","110","22870","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","AO","LGBO","10","10","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","AO","Unknown","70","65","22440","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","EO","Heterosexual / straight","280","270","27650","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","EO","LGBO","45","45","27330","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","EO","Undeclared","35","30","28350","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","EO","Unknown","80","80","27520","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","G6","Heterosexual / straight","445","415","64420","63470"
"In post","2022","Department for Levelling Up, Housing and Communities","G6","LGBO","40","40","63370","63470"
"In post","2022","Department for Levelling Up, Housing and Communities","G6","Undeclared","40","40","63900","63470"
"In post","2022","Department for Levelling Up, Housing and Communities","G6","Unknown","75","65","65690","64500"
"In post","2022","Department for Levelling Up, Housing and Communities","G7","Heterosexual / straight","850","820","52190","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","G7","LGBO","95","95","52400","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","G7","Undeclared","75","70","51790","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","G7","Unknown","115","110","52460","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","HEO","Heterosexual / straight","605","590","32770","33210"
"In post","2022","Department for Levelling Up, Housing and Communities","HEO","LGBO","75","75","32240","33210"
"In post","2022","Department for Levelling Up, Housing and Communities","HEO","Undeclared","65","65","33510","33210"
"In post","2022","Department for Levelling Up, Housing and Communities","HEO","Unknown","120","115","33820","33210"
"In post","2022","Department for Levelling Up, Housing and Communities","SCS level","Heterosexual / straight","135","125","85030","76930"
"In post","2022","Department for Levelling Up, Housing and Communities","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","SCS level","Unknown","25","25","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO","Heterosexual / straight","535","525","39450","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO","LGBO","55","55","39430","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO","Undeclared","45","45","41300","40290"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO","Unknown","75","75","40160","40550"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","AA","Heterosexual / straight","615","505","18590","18310"
"In post","2022","Department for Transport","AA","LGBO","35","35","18310","18310"
"In post","2022","Department for Transport","AA","Undeclared","380","280","18640","18310"
"In post","2022","Department for Transport","AA","Unknown","250","215","18660","18310"
"In post","2022","Department for Transport","AO","Heterosexual / straight","2710","2430","22890","21840"
"In post","2022","Department for Transport","AO","LGBO","155","145","22540","21840"
"In post","2022","Department for Transport","AO","Undeclared","760","635","22480","21840"
"In post","2022","Department for Transport","AO","Unknown","810","740","23880","21840"
