"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","UK Export Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Asian","UK Export Finance","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","AA/AO","AA","20","15","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","AA/AO","AO","35","30","21160","19860"
"In post","2022","Asian","UK Statistics Authority","EO","EO","20","20","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","SEO/HEO","HEO","50","45","31380","30710"
"In post","2022","Asian","UK Statistics Authority","SEO/HEO","SEO","30","30","38340","38340"
"In post","2022","Asian","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","EO","EO","10","10","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Government","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Asian","Welsh Government","EO","EO","10","10","[c]","[c]"
"In post","2022","Asian","Welsh Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Government","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Asian","Welsh Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Government","SEO/HEO","HEO","20","15","[c]","[c]"
"In post","2022","Asian","Welsh Government","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Black","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Attorney General's Departments","AA/AO","AO","115","110","23350","23770"
"In post","2022","Black","Attorney General's Departments","EO","EO","155","150","28190","27580"
"In post","2022","Black","Attorney General's Departments","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Black","Attorney General's Departments","G6/G7","G7","190","180","56560","54770"
"In post","2022","Black","Attorney General's Departments","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Black","Attorney General's Departments","SEO/HEO","HEO","80","75","35510","33930"
"In post","2022","Black","Attorney General's Departments","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Black","Cabinet Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Cabinet Office","AA/AO","AO","20","20","[c]","[c]"
"In post","2022","Black","Cabinet Office","EO","EO","55","55","27600","27500"
"In post","2022","Black","Cabinet Office","G6/G7","G6","15","15","[c]","[c]"
