"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","Unknown","45","45","27670","24800"
"In post","2022","Asian","Lincolnshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","AO","5","5","[c]","[c]"
"In post","2022","Asian","Lincolnshire","EO","5","5","[c]","[c]"
"In post","2022","Asian","Lincolnshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Merseyside","AA","10","5","[c]","[c]"
"In post","2022","Asian","Merseyside","AO","75","70","21670","21680"
"In post","2022","Asian","Merseyside","EO","70","65","26290","26590"
"In post","2022","Asian","Merseyside","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Merseyside","G7","25","20","[c]","[c]"
"In post","2022","Asian","Merseyside","HEO","30","30","32410","33080"
"In post","2022","Asian","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Merseyside","SEO","30","30","[c]","[c]"
"In post","2022","Asian","Merseyside","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","AO","5","5","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","EO","10","10","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Eastern Scotland","SEO","15","15","[c]","[c]"
"In post","2022","Asian","North Yorkshire","AA","5","5","[c]","[c]"
"In post","2022","Asian","North Yorkshire","AO","15","15","[c]","[c]"
"In post","2022","Asian","North Yorkshire","EO","20","15","[c]","[c]"
"In post","2022","Asian","North Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Yorkshire","G7","5","5","[c]","[c]"
"In post","2022","Asian","North Yorkshire","HEO","15","15","[c]","[c]"
"In post","2022","Asian","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North Yorkshire","SEO","10","10","[c]","[c]"
"In post","2022","Asian","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northumberland, and Tyne and Wear","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northumberland, and Tyne and Wear","AO","165","150","21270","21260"
"In post","2022","Asian","Northumberland, and Tyne and Wear","EO","125","115","26690","26820"
"In post","2022","Asian","Northumberland, and Tyne and Wear","G6","5","5","[c]","[c]"
"In post","2022","Asian","Northumberland, and Tyne and Wear","G7","35","35","54690","55000"
"In post","2022","Asian","Northumberland, and Tyne and Wear","HEO","60","60","33020","33080"
"In post","2022","Asian","Northumberland, and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northumberland, and Tyne and Wear","SEO","60","60","40040","40520"
"In post","2022","Asian","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outer London - East and North East","AA","15","15","[c]","[c]"
"In post","2022","Asian","Outer London - East and North East","AO","230","205","25170","25110"
"In post","2022","Asian","Outer London - East and North East","EO","475","430","30860","31060"
"In post","2022","Asian","Outer London - East and North East","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outer London - East and North East","G7","10","10","[c]","[c]"
"In post","2022","Asian","Outer London - East and North East","HEO","40","40","37510","36650"
"In post","2022","Asian","Outer London - East and North East","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outer London - East and North East","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Outer London - East and North East","Unknown","45","40","30660","27980"
"In post","2022","Asian","Outer London - South","AA","50","40","22390","22460"
"In post","2022","Asian","Outer London - South","AO","375","335","25480","25630"
"In post","2022","Asian","Outer London - South","EO","590","550","29920","29370"
"In post","2022","Asian","Outer London - South","G6","35","35","72320","70960"
"In post","2022","Asian","Outer London - South","G7","165","160","59860","59430"
"In post","2022","Asian","Outer London - South","HEO","395","380","36330","35680"
"In post","2022","Asian","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outer London - South","SEO","265","260","43700","42440"
"In post","2022","Asian","Outer London - South","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Outer London - West and North West","AA","100","85","22700","22460"
"In post","2022","Asian","Outer London - West and North West","AO","485","430","25520","25460"
"In post","2022","Asian","Outer London - West and North West","EO","1360","1240","29710","29730"
"In post","2022","Asian","Outer London - West and North West","G6","25","20","[c]","[c]"
"In post","2022","Asian","Outer London - West and North West","G7","80","80","57460","57040"
"In post","2022","Asian","Outer London - West and North West","HEO","335","325","35510","35200"
"In post","2022","Asian","Outer London - West and North West","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Outer London - West and North West","SEO","170","170","42760","41970"
"In post","2022","Asian","Outer London - West and North West","Unknown","45","40","31400","30200"
"In post","2022","Asian","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","EO","25","25","[c]","[c]"
"In post","2022","Asian","Overseas","G6","15","15","[c]","[c]"
"In post","2022","Asian","Overseas","G7","25","25","[c]","[c]"
"In post","2022","Asian","Overseas","HEO","45","45","35050","34070"
"In post","2022","Asian","Overseas","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Overseas","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Overseas","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Shropshire and Staffordshire","AA","10","10","[c]","[c]"
"In post","2022","Asian","Shropshire and Staffordshire","AO","85","75","22740","21260"
"In post","2022","Asian","Shropshire and Staffordshire","EO","95","90","27400","27570"
"In post","2022","Asian","Shropshire and Staffordshire","G6","10","10","[c]","[c]"
