"Status","Year","Disability","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Scotland","South Ayrshire","220","205","28460","27570"
"In post","2022","Declared non-disabled","Scotland","South Lanarkshire","2125","1925","32480","27570"
"In post","2022","Declared non-disabled","Scotland","West Lothian","300","280","33460","27570"
"In post","2022","Declared non-disabled","South East (England)","Berkshire","1790","1695","34340","30110"
"In post","2022","Declared non-disabled","South East (England)","Brighton and Hove","495","445","33370","27570"
"In post","2022","Declared non-disabled","South East (England)","Buckinghamshire","1150","1095","33310","29750"
"In post","2022","Declared non-disabled","South East (England)","Central Hampshire","3355","3230","37770","35070"
"In post","2022","Declared non-disabled","South East (England)","East Kent","3085","2855","28810","27280"
"In post","2022","Declared non-disabled","South East (England)","East Surrey","700","660","34250","33440"
"In post","2022","Declared non-disabled","South East (England)","East Sussex CC","1475","1330","27770","27570"
"In post","2022","Declared non-disabled","South East (England)","Isle of Wight","550","515","27190","26610"
"In post","2022","Declared non-disabled","South East (England)","Kent Thames Gateway","1015","960","30810","30700"
"In post","2022","Declared non-disabled","South East (England)","Medway","940","895","30990","29290"
"In post","2022","Declared non-disabled","South East (England)","Mid Kent","645","605","30950","29290"
"In post","2022","Declared non-disabled","South East (England)","Milton Keynes","1670","1590","33680","29260"
"In post","2022","Declared non-disabled","South East (England)","North Hampshire","720","680","33990","27570"
"In post","2022","Declared non-disabled","South East (England)","Oxfordshire CC","1695","1595","32220","29260"
"In post","2022","Declared non-disabled","South East (England)","Portsmouth","2505","2345","32320","28420"
"In post","2022","Declared non-disabled","South East (England)","South Hampshire","2315","2035","31780","27570"
"In post","2022","Declared non-disabled","South East (England)","Southampton","940","875","34320","28000"
"In post","2022","Declared non-disabled","South East (England)","West Kent","255","235","38430","38070"
"In post","2022","Declared non-disabled","South East (England)","West Surrey","1625","1530","33610","30210"
"In post","2022","Declared non-disabled","South East (England)","West Sussex (North East)","900","800","30790","27570"
"In post","2022","Declared non-disabled","South East (England)","West Sussex (South West)","885","810","32050","27570"
"In post","2022","Declared non-disabled","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","9765","9365","38300","35020"
"In post","2022","Declared non-disabled","South West (England)","Bournemouth, Christchurch and Poole","550","500","28580","27570"
"In post","2022","Declared non-disabled","South West (England)","Bristol, City of","4470","4175","35670","32010"
"In post","2022","Declared non-disabled","South West (England)","Cornwall and Isles of Scilly","1250","1150","27850","26840"
"In post","2022","Declared non-disabled","South West (England)","Devon CC","4385","4030","33670","30230"
"In post","2022","Declared non-disabled","South West (England)","Dorset","1465","1375","29740","27260"
"In post","2022","Declared non-disabled","South West (England)","Gloucestershire CC","1000","895","30830","27570"
"In post","2022","Declared non-disabled","South West (England)","Plymouth","2120","1965","32560","27570"
"In post","2022","Declared non-disabled","South West (England)","Somerset CC","1665","1550","31850","27570"
"In post","2022","Declared non-disabled","South West (England)","Swindon","315","295","32400","27570"
"In post","2022","Declared non-disabled","South West (England)","Torbay","255","215","27080","26120"
"In post","2022","Declared non-disabled","South West (England)","Wiltshire","6065","5835","37060","33720"
"In post","2022","Declared non-disabled","Unknown","Unknown","850","805","33320","29390"
"In post","2022","Declared non-disabled","Wales","Bridgend and Neath Port Talbot","550","485","27320","27570"
"In post","2022","Declared non-disabled","Wales","Cardiff and Vale of Glamorgan","8220","7765","35960","31650"
"In post","2022","Declared non-disabled","Wales","Central Valleys","2040","1890","32440","27570"
