"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Digital, Data & Technology","SEO/HEO","HEO","3515","3400","33590","33300"
"In post","2022","Declared non-disabled","Digital, Data & Technology","SEO/HEO","SEO","3720","3615","40960","40520"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","Unknown","45","45","34090","31360"
"In post","2022","Declared non-disabled","Finance","AA/AO","AA","45","35","20580","21250"
"In post","2022","Declared non-disabled","Finance","AA/AO","AO","995","850","21800","21260"
"In post","2022","Declared non-disabled","Finance","EO","EO","1400","1320","26900","26820"
"In post","2022","Declared non-disabled","Finance","G6/G7","G6","590","575","67390","67090"
"In post","2022","Declared non-disabled","Finance","G6/G7","G7","1415","1375","54680","54340"
"In post","2022","Declared non-disabled","Finance","SCS level","SCS level","215","210","86810","79890"
"In post","2022","Declared non-disabled","Finance","SEO/HEO","HEO","1795","1720","33570","33180"
"In post","2022","Declared non-disabled","Finance","SEO/HEO","SEO","1945","1880","40780","40520"
"In post","2022","Declared non-disabled","Finance","Unknown","Unknown","45","45","49710","41340"
"In post","2022","Declared non-disabled","Grants Management","AA/AO","AO","1170","1070","21280","21300"
"In post","2022","Declared non-disabled","Grants Management","EO","EO","540","495","25420","25190"
"In post","2022","Declared non-disabled","Grants Management","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","G6/G7","G7","45","40","49200","48680"
"In post","2022","Declared non-disabled","Grants Management","SCS level","SCS level","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","SEO/HEO","HEO","215","200","30340","30230"
"In post","2022","Declared non-disabled","Grants Management","SEO/HEO","SEO","100","95","37290","36840"
"In post","2022","Declared non-disabled","Human Resources","AA/AO","AA","30","30","19980","19810"
"In post","2022","Declared non-disabled","Human Resources","AA/AO","AO","1000","905","21750","21260"
"In post","2022","Declared non-disabled","Human Resources","EO","EO","1675","1565","27170","27230"
"In post","2022","Declared non-disabled","Human Resources","G6/G7","G6","460","450","66780","66610"
"In post","2022","Declared non-disabled","Human Resources","G6/G7","G7","1225","1180","54270","54540"
"In post","2022","Declared non-disabled","Human Resources","SCS level","SCS level","185","180","87230","79580"
"In post","2022","Declared non-disabled","Human Resources","SEO/HEO","HEO","1920","1825","33120","33080"
"In post","2022","Declared non-disabled","Human Resources","SEO/HEO","SEO","1335","1275","40570","40520"
"In post","2022","Declared non-disabled","Human Resources","Unknown","Unknown","30","30","43440","43470"
"In post","2022","Declared non-disabled","Internal Audit","AA/AO","AO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","EO","EO","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","G6/G7","G6","50","50","66130","64220"
"In post","2022","Declared non-disabled","Internal Audit","G6/G7","G7","100","100","53860","54130"
"In post","2022","Declared non-disabled","Internal Audit","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","SEO/HEO","HEO","105","105","33990","33300"
"In post","2022","Declared non-disabled","Internal Audit","SEO/HEO","SEO","235","220","43980","43280"
"In post","2022","Declared non-disabled","Legal","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","AA/AO","AO","965","875","22670","22200"
"In post","2022","Declared non-disabled","Legal","EO","EO","1435","1345","28080","27870"
"In post","2022","Declared non-disabled","Legal","G6/G7","G6","1080","1005","69720","67910"
"In post","2022","Declared non-disabled","Legal","G6/G7","G7","3135","2880","56140","55210"
"In post","2022","Declared non-disabled","Legal","SCS level","SCS level","355","340","87910","82720"
"In post","2022","Declared non-disabled","Legal","SEO/HEO","HEO","845","810","34970","33370"
"In post","2022","Declared non-disabled","Legal","SEO/HEO","SEO","680","650","46000","41750"
"In post","2022","Declared non-disabled","No function","AA/AO","AA","6360","5630","20690","20890"
"In post","2022","Declared non-disabled","No function","AA/AO","AO","52475","46960","23270","21260"
"In post","2022","Declared non-disabled","No function","EO","EO","50925","46785","28110","27570"
"In post","2022","Declared non-disabled","No function","G6/G7","G6","4705","4515","68050","66230"
"In post","2022","Declared non-disabled","No function","G6/G7","G7","12535","12150","55020","54160"
"In post","2022","Declared non-disabled","No function","SCS level","SCS level","2295","2205","88180","80000"
"In post","2022","Declared non-disabled","No function","SEO/HEO","HEO","22560","21605","33800","33370"
"In post","2022","Declared non-disabled","No function","SEO/HEO","SEO","14030","13470","42350","40520"
"In post","2022","Declared non-disabled","No function","Unknown","Unknown","11715","10910","30540","28200"
"In post","2022","Declared non-disabled","Project Delivery","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","AA/AO","AO","400","345","21910","21260"
