"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Ministry of Justice","Male","Undeclared","3085","2935","33120","31650"
"In post","2022","Ministry of Justice","Male","Unknown","7165","6725","29840","28310"
"In post","2022","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Female","Heterosexual / straight","1945","1855","38190","36410"
"In post","2022","National Crime Agency","Female","LGBO","120","120","36960","36200"
"In post","2022","National Crime Agency","Female","Undeclared","135","135","38520","36410"
"In post","2022","National Crime Agency","Female","Unknown","290","270","39120","37560"
"In post","2022","National Crime Agency","Male","Heterosexual / straight","2320","2295","42890","40190"
"In post","2022","National Crime Agency","Male","LGBO","100","95","38980","36410"
"In post","2022","National Crime Agency","Male","Undeclared","220","220","40330","38540"
"In post","2022","National Crime Agency","Male","Unknown","415","410","43530","40740"
"In post","2022","National Crime Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Female","Heterosexual / straight","65","65","46640","41750"
"In post","2022","Northern Ireland Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Female","Unknown","35","35","43910","41750"
"In post","2022","Northern Ireland Office","Male","Heterosexual / straight","40","40","45990","41750"
"In post","2022","Northern Ireland Office","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Northern Ireland Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Male","Unknown","30","30","[c]","[c]"
"In post","2022","Northern Ireland Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Female","Heterosexual / straight","1050","1000","50260","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Female","LGBO","50","50","52610","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Female","Undeclared","65","60","45380","39850"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Female","Unknown","70","60","41030","39850"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Male","Heterosexual / straight","460","455","53260","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Male","LGBO","70","70","47620","32390"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Male","Undeclared","35","35","51250","59220"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Male","Unknown","30","30","40020","32010"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Female","Heterosexual / straight","345","335","41510","35500"
"In post","2022","Office of Gas and Electricity Markets","Female","LGBO","35","35","32180","30000"
"In post","2022","Office of Gas and Electricity Markets","Female","Undeclared","35","35","40090","37000"
"In post","2022","Office of Gas and Electricity Markets","Female","Unknown","205","200","45440","42390"
"In post","2022","Office of Gas and Electricity Markets","Male","Heterosexual / straight","355","355","41940","35000"
"In post","2022","Office of Gas and Electricity Markets","Male","LGBO","60","60","38600","33400"
"In post","2022","Office of Gas and Electricity Markets","Male","Undeclared","40","40","44650","42900"
"In post","2022","Office of Gas and Electricity Markets","Male","Unknown","270","265","49470","44520"
"In post","2022","Office of Gas and Electricity Markets","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Female","Heterosexual / straight","125","125","41380","38000"
"In post","2022","Office of Qualifications and Examinations Regulation","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Female","Unknown","35","30","50110","47880"
"In post","2022","Office of Qualifications and Examinations Regulation","Male","Heterosexual / straight","70","65","48830","46660"
"In post","2022","Office of Qualifications and Examinations Regulation","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Male","Unknown","30","25","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Female","Heterosexual / straight","100","95","50790","50810"
"In post","2022","Office of Rail and Road","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Office of Rail and Road","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Office of Rail and Road","Female","Unknown","25","20","[c]","[c]"
"In post","2022","Office of Rail and Road","Male","Heterosexual / straight","120","120","54660","52870"
"In post","2022","Office of Rail and Road","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Office of Rail and Road","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Office of Rail and Road","Male","Unknown","50","45","64530","62560"
"In post","2022","Office of Rail and Road","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Female","Heterosexual / straight","35","35","50130","50480"
"In post","2022","Office of the Secretary of State for Scotland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Female","Unknown","35","30","44130","41750"
"In post","2022","Office of the Secretary of State for Scotland","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Female","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Female","Heterosexual / straight","7775","7320","39130","34600"
"In post","2022","Scottish Government","Female","LGBO","595","585","34930","31540"
"In post","2022","Scottish Government","Female","Undeclared","465","435","40070","36130"
"In post","2022","Scottish Government","Female","Unknown","4765","4405","33280","30020"
"In post","2022","Scottish Government","Male","Heterosexual / straight","5990","5830","40130","35040"
"In post","2022","Scottish Government","Male","LGBO","530","520","38120","33070"
"In post","2022","Scottish Government","Male","Undeclared","410","400","41540","37710"
"In post","2022","Scottish Government","Male","Unknown","4800","4600","34610","32000"
"In post","2022","Scottish Government","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Female","Heterosexual / straight","130","125","36210","34260"
"In post","2022","The National Archives","Female","LGBO","25","20","[c]","[c]"
"In post","2022","The National Archives","Female","Undeclared","40","35","33610","30420"
"In post","2022","The National Archives","Female","Unknown","115","105","35960","34260"
"In post","2022","The National Archives","Male","Heterosexual / straight","120","115","38450","34990"
"In post","2022","The National Archives","Male","LGBO","20","20","[c]","[c]"
"In post","2022","The National Archives","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","The National Archives","Male","Unknown","110","105","34010","30620"
"In post","2022","The National Archives","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Female","Heterosexual / straight","185","180","47270","41880"
