"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Yorkshire and The Humber","West Yorkshire","G6/G7","200","190","56230","55210"
"In post","2022","Declared disabled","Yorkshire and The Humber","West Yorkshire","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Yorkshire and The Humber","West Yorkshire","SEO/HEO","475","450","35850","34290"
"In post","2022","Declared disabled","Yorkshire and The Humber","West Yorkshire","Unknown","175","160","31140","28200"
"In post","2022","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","2460","2235","22680","21260"
"In post","2022","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","EO","2400","2200","27210","27130"
"In post","2022","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","980","940","58150","55210"
"In post","2022","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","60","60","90910","87400"
"In post","2022","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","2575","2440","36440","33840"
"In post","2022","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","415","375","29470","28200"
"In post","2022","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","1790","1610","22590","21260"
"In post","2022","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","1285","1185","27560","27570"
"In post","2022","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","170","160","59010","55610"
"In post","2022","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","675","635","37330","36050"
"In post","2022","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","355","335","29850","28200"
"In post","2022","Declared non-disabled","East Midlands (England)","Lincolnshire","AA/AO","915","855","22510","21260"
"In post","2022","Declared non-disabled","East Midlands (England)","Lincolnshire","EO","515","480","27650","27570"
"In post","2022","Declared non-disabled","East Midlands (England)","Lincolnshire","G6/G7","90","85","59130","55610"
"In post","2022","Declared non-disabled","East Midlands (England)","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","East Midlands (England)","Lincolnshire","SEO/HEO","445","430","36830","35630"
"In post","2022","Declared non-disabled","East Midlands (England)","Lincolnshire","Unknown","130","120","30010","27260"
"In post","2022","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","AA/AO","810","750","25020","23770"
"In post","2022","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","EO","1130","1050","28900","29290"
"In post","2022","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","G6/G7","260","250","61480","60520"
"In post","2022","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","SCS level","30","30","88410","82500"
"In post","2022","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","SEO/HEO","685","660","38660","37640"
"In post","2022","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","Unknown","235","220","30730","30210"
"In post","2022","Declared non-disabled","East of England","East Anglia","AA/AO","3285","3025","23640","21680"
