"Status","Year","Region_ITL2","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cheshire","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","SEO/HEO","Female","Heterosexual / straight","400","380","37830","36740"
"In post","2022","Cheshire","SEO/HEO","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Cheshire","SEO/HEO","Female","Undeclared","45","40","38340","37070"
"In post","2022","Cheshire","SEO/HEO","Female","Unknown","55","50","37750","36740"
"In post","2022","Cheshire","SEO/HEO","Male","Heterosexual / straight","410","405","39970","40000"
"In post","2022","Cheshire","SEO/HEO","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Cheshire","SEO/HEO","Male","Undeclared","45","40","40770","40580"
"In post","2022","Cheshire","SEO/HEO","Male","Unknown","65","60","39610","40000"
"In post","2022","Cheshire","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Unknown","Female","Heterosexual / straight","170","160","29450","28200"
"In post","2022","Cheshire","Unknown","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Cheshire","Unknown","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Cheshire","Unknown","Female","Unknown","30","25","[c]","[c]"
"In post","2022","Cheshire","Unknown","Male","Heterosexual / straight","45","40","28980","26310"
"In post","2022","Cheshire","Unknown","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Cheshire","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Cheshire","Unknown","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Cheshire","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","AA/AO","Female","Heterosexual / straight","260","225","21170","21260"
