"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Intelligence Analysis","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Wales","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","London","Heterosexual / straight","5","5","[c]","[c]"
