"Status","Year","Parent_department","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Chancellor's other departments","North East (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Female","Heterosexual / straight","35","30","45890","37910"
"In post","2022","Charity Commission","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Female","Unknown","20","20","[c]","[c]"
