"Status","Year","Disability","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Declared non-disabled","Outside London","G6/G7","1010","[c]","56560","53500"
"Leaver Dept.","2022","Declared non-disabled","Outside London","SCS level","155","[c]","100700","1e+05"
"Leaver Dept.","2022","Declared non-disabled","Outside London","SEO/HEO","2560","[c]","34880","34490"
"Leaver Dept.","2022","Declared non-disabled","Outside London","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","AA/AO","45","[c]","21300","21840"
"Leaver Dept.","2022","Declared non-disabled","Unknown","EO","55","[c]","27170","27500"
"Leaver Dept.","2022","Declared non-disabled","Unknown","G6/G7","65","[c]","57350","55160"
"Leaver Dept.","2022","Declared non-disabled","Unknown","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","SEO/HEO","105","[c]","35630","33730"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","London","AA/AO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","London","EO","60","[c]","28890","28330"
"Leaver Dept.","2022","Undeclared","London","G6/G7","75","[c]","59230","54890"
"Leaver Dept.","2022","Undeclared","London","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","London","SEO/HEO","170","[c]","37790","37370"
"Leaver Dept.","2022","Undeclared","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Outside London","AA/AO","100","[c]","21290","21260"
"Leaver Dept.","2022","Undeclared","Outside London","EO","145","[c]","26580","27570"
"Leaver Dept.","2022","Undeclared","Outside London","G6/G7","55","[c]","54730","52210"
"Leaver Dept.","2022","Undeclared","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Outside London","SEO/HEO","190","[c]","35510","35090"
"Leaver Dept.","2022","Undeclared","Outside London","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","London","AA/AO","145","[c]","22680","22680"
"Leaver Dept.","2022","Unknown","London","EO","380","[c]","28600","28170"
"Leaver Dept.","2022","Unknown","London","G6/G7","950","[c]","58830","55130"
"Leaver Dept.","2022","Unknown","London","SCS level","185","[c]","105100","98870"
"Leaver Dept.","2022","Unknown","London","SEO/HEO","1465","[c]","35710","34550"
"Leaver Dept.","2022","Unknown","London","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Outside London","AA/AO","620","[c]","21290","21100"
"Leaver Dept.","2022","Unknown","Outside London","EO","540","[c]","26620","26970"
"Leaver Dept.","2022","Unknown","Outside London","G6/G7","555","[c]","57420","53500"
"Leaver Dept.","2022","Unknown","Outside London","SCS level","95","[c]","112020","113110"
"Leaver Dept.","2022","Unknown","Outside London","SEO/HEO","1010","[c]","35890","36330"
"Leaver Dept.","2022","Unknown","Outside London","Unknown","55","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","SEO/HEO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","AA/AO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","EO","45","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","G6/G7","60","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","SCS level","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","SEO/HEO","240","[c]","32220","32000"
"Leaver Dept.","2022","Unknown","Unknown","Unknown","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","London","AA/AO","115","[c]","24200","24540"
"New entrant CS","2022","Declared disabled","London","EO","290","[c]","28900","28500"
"New entrant CS","2022","Declared disabled","London","G6/G7","95","[c]","57250","54700"
"New entrant CS","2022","Declared disabled","London","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","London","SEO/HEO","325","[c]","35550","34260"
"New entrant CS","2022","Declared disabled","London","Unknown","165","[c]","34890","33700"
"New entrant CS","2022","Declared disabled","Outside London","AA/AO","1490","[c]","21570","21260"
"New entrant CS","2022","Declared disabled","Outside London","EO","890","[c]","26720","27570"
"New entrant CS","2022","Declared disabled","Outside London","G6/G7","155","[c]","53830","50510"
"New entrant CS","2022","Declared disabled","Outside London","SCS level","15","[c]","[c]","[c]"
