"Status","Year","Age","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","20-29","Declared disabled","Devon CC","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Dorset","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Dudley","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Durham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Ealing","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","East Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","East Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","East Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","East Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","East Merseyside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","East Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","East Sussex CC","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Enfield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Falkirk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Flintshire and Wrexham","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Glasgow City","15","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Gloucestershire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Greater Manchester North East","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Greater Manchester North West","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Greater Manchester South East","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Greater Manchester South West","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Gwent Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Gwynedd","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Hackney and Newham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Haringey and Islington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Heart of Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Herefordshire, County of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Hertfordshire CC","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Hounslow and Richmond upon Thames","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Isle of Anglesey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Isle of Wight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Kensington & Chelsea and Hammersmith & Fulham","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Lambeth","20","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Leeds","25","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Leicester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Lincolnshire CC","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Luton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Manchester","15","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Medway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Mid Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Monmouthshire and Newport","15","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","North and West Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","North Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","North Lanarkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","North Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","North Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","North Yorkshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Northumberland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Nottingham","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Oxfordshire CC","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Peterborough","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Portsmouth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Powys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Sandwell","[c]","[c]","[c]","[c]"
