"Status","Year","Parent_department","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Charity Commission","G7","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Charity Commission","G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G7","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G7","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","HEO","Female","Heterosexual / straight","50","45","28820","29160"
"In post","2022","Charity Commission","HEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","HEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","HEO","Female","Unknown","35","30","29930","29160"
"In post","2022","Charity Commission","HEO","Male","Heterosexual / straight","35","35","28940","29160"
"In post","2022","Charity Commission","HEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","HEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","HEO","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Charity Commission","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
