"Status","Year","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","White","Food Standards Scotland","5","[c]","[c]","[c]"
"Leaver CS","2022","White","Foreign, Commonwealth and Development Office (excl. agencies)","200","[c]","50760","52840"
"Leaver CS","2022","White","Forestry and Land Scotland","100","[c]","30130","27360"
"Leaver CS","2022","White","Government Actuary's Department","10","[c]","[c]","[c]"
"Leaver CS","2022","White","Government Internal Audit Agency","25","[c]","[c]","[c]"
"Leaver CS","2022","White","Government Legal Department","125","[c]","52740","51250"
"Leaver CS","2022","White","Government Property Agency","10","[c]","[c]","[c]"
"Leaver CS","2022","White","Health and Safety Executive","140","[c]","39470","35910"
"Leaver CS","2022","White","HM Courts and Tribunals Service","1125","[c]","24470","20970"
"Leaver CS","2022","White","HM Land Registry","260","[c]","33400","27130"
"Leaver CS","2022","White","HM Prison and Probation Service","4695","[c]","32810","31150"
"Leaver CS","2022","White","HM Revenue and Customs (excl. agencies)","2800","[c]","33250","28920"
"Leaver CS","2022","White","HM Treasury (excl. agencies)","105","[c]","[c]","[c]"
"Leaver CS","2022","White","Home Office","1340","[c]","32080","26160"
"Leaver CS","2022","White","Institute for Apprenticeships and Technical Education","10","[c]","[c]","[c]"
"Leaver CS","2022","White","Intellectual Property Office","30","[c]","37900","27470"
"Leaver CS","2022","White","Legal Aid Agency","35","[c]","26190","20970"
"Leaver CS","2022","White","Maritime and Coastguard Agency","110","[c]","35870","31040"
"Leaver CS","2022","White","Medicines and Healthcare Products Regulatory Agency","140","[c]","53800","50080"
"Leaver CS","2022","White","Met Office","90","[c]","36080","36130"
"Leaver CS","2022","White","Ministry of Defence (excl. agencies)","2615","[c]","31280","26690"
"Leaver CS","2022","White","Ministry of Justice (excl. agencies)","220","[c]","46010","41750"
"Leaver CS","2022","White","National Crime Agency","250","[c]","42440","39840"
"Leaver CS","2022","White","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","National Records of Scotland","20","[c]","[c]","[c]"
"Leaver CS","2022","White","National Savings and Investments","20","[c]","[c]","[c]"
"Leaver CS","2022","White","Northern Ireland Office","5","[c]","[c]","[c]"
"Leaver CS","2022","White","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Office for Standards in Education, Children's Services and Skills","155","[c]","54700","51360"
"Leaver CS","2022","White","Office of Gas and Electricity Markets","170","[c]","45620","37710"
"Leaver CS","2022","White","Office of Qualifications and Examinations Regulation","20","[c]","[c]","[c]"
"Leaver CS","2022","White","Office of Rail and Road","25","[c]","[c]","[c]"
"Leaver CS","2022","White","Office of the Public Guardian","35","[c]","23010","20970"
"Leaver CS","2022","White","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Planning Inspectorate","50","[c]","43970","43740"
"Leaver CS","2022","White","Public Health England","1125","[c]","43270","38550"
"Leaver CS","2022","White","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Registers of Scotland","25","[c]","[c]","[c]"
"Leaver CS","2022","White","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Rural Payments Agency","85","[c]","26880","25190"
"Leaver CS","2022","White","Scottish Courts and Tribunals Service","25","[c]","[c]","[c]"
"Leaver CS","2022","White","Scottish Forestry","20","[c]","[c]","[c]"
"Leaver CS","2022","White","Scottish Government (excl. agencies)","245","[c]","45610","39660"
"Leaver CS","2022","White","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Scottish Prison Service","110","[c]","34440","35000"
"Leaver CS","2022","White","Scottish Public Pensions Agency","15","[c]","[c]","[c]"
"Leaver CS","2022","White","Serious Fraud Office","25","[c]","[c]","[c]"
"Leaver CS","2022","White","Social Security Scotland","20","[c]","[c]","[c]"
"Leaver CS","2022","White","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Student Awards Agency for Scotland","15","[c]","[c]","[c]"
"Leaver CS","2022","White","Submarine Delivery Agency","115","[c]","37710","39000"
"Leaver CS","2022","White","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","The Insolvency Service","55","[c]","34610","26290"
"Leaver CS","2022","White","The National Archives","45","[c]","33310","28460"
"Leaver CS","2022","White","Transport Scotland","15","[c]","[c]","[c]"
"Leaver CS","2022","White","UK Debt Management Office","10","[c]","[c]","[c]"
"Leaver CS","2022","White","UK Export Finance","30","[c]","56900","47000"
"Leaver CS","2022","White","UK Health Security Agency","395","[c]","38630","34530"
"Leaver CS","2022","White","UK Hydrographic Office","45","[c]","37360","34000"
"Leaver CS","2022","White","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","UK Statistics Authority","375","[c]","29400","23630"
"Leaver CS","2022","White","UK Supreme Court","10","[c]","[c]","[c]"
"Leaver CS","2022","White","Valuation Office Agency","135","[c]","29760","25750"
"Leaver CS","2022","White","Vehicle Certification Agency","15","[c]","[c]","[c]"
"Leaver CS","2022","White","Veterinary Medicines Directorate","10","[c]","[c]","[c]"
"Leaver CS","2022","White","Water Services Regulation Authority","30","[c]","55840","53310"
"Leaver CS","2022","White","Welsh Government (excl. agencies)","220","[c]","42940","37410"
"Leaver CS","2022","White","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Cabinet Office (excl. agencies)","95","[c]","43440","35590"
"Leaver Dept.","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Competition and Markets Authority","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Crown Prosecution Service","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Defence Equipment and Support","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","65","[c]","44490","37450"
"Leaver Dept.","2022","Asian","Department for Digital, Culture, Media and Sport","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Department for Education (excl. agencies)","45","[c]","37880","36500"
"Leaver Dept.","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Department for International Trade","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","35","[c]","37240","33210"
"Leaver Dept.","2022","Asian","Department for Transport (excl. agencies)","40","[c]","44080","42470"
"Leaver Dept.","2022","Asian","Department for Work and Pensions (excl. agencies)","435","[c]","29050","27570"
"Leaver Dept.","2022","Asian","Department of Health and Social Care (excl. agencies)","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Driver and Vehicle Standards Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Education and Skills Funding Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Government Legal Department","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Health and Safety Executive","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","HM Courts and Tribunals Service","95","[c]","26220","23040"
"Leaver Dept.","2022","Asian","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","HM Prison and Probation Service","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","HM Revenue and Customs (excl. agencies)","115","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","HM Treasury (excl. agencies)","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Home Office","180","[c]","33400","28850"
"Leaver Dept.","2022","Asian","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Maritime and Coastguard Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Medicines and Healthcare Products Regulatory Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Ministry of Defence (excl. agencies)","50","[c]","35710","37000"
"Leaver Dept.","2022","Asian","Ministry of Justice (excl. agencies)","50","[c]","37980","34260"
"Leaver Dept.","2022","Asian","National Crime Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office for Standards in Education, Children's Services and Skills","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office of Gas and Electricity Markets","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office of the Public Guardian","45","[c]","22930","20970"
"Leaver Dept.","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Public Health England","805","[c]","41100","32330"
"Leaver Dept.","2022","Asian","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Serious Fraud Office","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","The Insolvency Service","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","UK Statistics Authority","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Cabinet Office (excl. agencies)","60","[c]","40530","35070"
"Leaver Dept.","2022","Black","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Crown Prosecution Service","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Defence Equipment and Support","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","30","[c]","39730","35140"
"Leaver Dept.","2022","Black","Department for Digital, Culture, Media and Sport","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Education (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for International Trade","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Transport (excl. agencies)","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Work and Pensions (excl. agencies)","205","[c]","29720","29290"
"Leaver Dept.","2022","Black","Department of Health and Social Care (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Driver and Vehicle Standards Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Foreign, Commonwealth and Development Office (excl. agencies)","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Government Legal Department","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Courts and Tribunals Service","35","[c]","29000","23720"
"Leaver Dept.","2022","Black","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Prison and Probation Service","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Revenue and Customs (excl. agencies)","45","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Home Office","70","[c]","36240","33290"
"Leaver Dept.","2022","Black","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Ministry of Defence (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Ministry of Justice (excl. agencies)","30","[c]","36420","34850"
"Leaver Dept.","2022","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of Gas and Electricity Markets","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of the Public Guardian","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Public Health England","495","[c]","39020","32650"
"Leaver Dept.","2022","Black","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Cabinet Office (excl. agencies)","35","[c]","39750","34550"
"Leaver Dept.","2022","Mixed","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Defence Equipment and Support","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","30","[c]","47190","41310"
"Leaver Dept.","2022","Mixed","Department for Digital, Culture, Media and Sport","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Department for Education (excl. agencies)","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Department for International Trade","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Department for Transport (excl. agencies)","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Department for Work and Pensions (excl. agencies)","85","[c]","30030","27570"
"Leaver Dept.","2022","Mixed","Department of Health and Social Care (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Foreign, Commonwealth and Development Office (excl. agencies)","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","HM Courts and Tribunals Service","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","HM Prison and Probation Service","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","HM Revenue and Customs (excl. agencies)","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","HM Treasury (excl. agencies)","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Home Office","40","[c]","34790","31490"
"Leaver Dept.","2022","Mixed","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Ministry of Defence (excl. agencies)","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Ministry of Justice (excl. agencies)","15","[c]","[c]","[c]"
