"Status","Year","Disability","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Declared disabled","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Public Health England","Department of Health and Social Care","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Registers of Scotland","Scottish Government","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Scottish Courts and Tribunals Service","Scottish Government","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","UK Health Security Agency","Department of Health and Social Care","110","[c]","34590","31380"
"New entrant CS","2022","Declared disabled","No function","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","UK Statistics Authority","UK Statistics Authority","30","[c]","24320","19860"
"New entrant CS","2022","Declared disabled","No function","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Cabinet Office (excl. agencies)","Cabinet Office","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Defence Equipment and Support","Ministry of Defence","50","[c]","31370","29630"
"New entrant CS","2022","Declared disabled","Project Delivery","Defence Science and Technology Laboratory","Ministry of Defence","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Department for Transport (excl. agencies)","Department for Transport","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Estyn","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Ministry of Defence (excl. agencies)","Ministry of Defence","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Submarine Delivery Agency","Ministry of Defence","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Government Property Agency","Cabinet Office","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Ministry of Defence (excl. agencies)","Ministry of Defence","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","UK Health Security Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Valuation Office Agency","HM Revenue and Customs","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Cabinet Office (excl. agencies)","Cabinet Office","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","HM Prison and Probation Service","Ministry of Justice","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Ministry of Defence (excl. agencies)","Ministry of Defence","15","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","110","[c]","27660","27570"
"New entrant CS","2022","Declared disabled","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Home Office","Home Office","65","[c]","32680","24880"
"New entrant CS","2022","Declared disabled","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","60","[c]","31150","26350"
"New entrant CS","2022","Declared disabled","Unknown","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Scottish Government (excl. agencies)","Scottish Government","65","[c]","34080","31540"
"New entrant CS","2022","Declared disabled","Unknown","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Social Security Scotland","Scottish Government","130","[c]","25860","27230"
"New entrant CS","2022","Declared disabled","Unknown","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Welsh Government (excl. agencies)","Welsh Government","25","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","45","[c]","27090","25460"
"New entrant CS","2022","Declared non-disabled","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Competition and Markets Authority","Competition and Markets Authority","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","70","[c]","31020","29230"
"New entrant CS","2022","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","30","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Department for Education","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Department for International Trade","Department for International Trade","30","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","25","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","Department for Transport","40","[c]","41650","42470"
"New entrant CS","2022","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","70","[c]","29100","31000"
"New entrant CS","2022","Declared non-disabled","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Food Standards Agency","Food Standards Agency","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Government Actuary's Department","Chancellor's other departments","15","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Health and Safety Executive","Department for Work and Pensions","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","85","[c]","34610","33080"
"New entrant CS","2022","Declared non-disabled","Analysis","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","35","[c]","30940","33000"
"New entrant CS","2022","Declared non-disabled","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","30","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","National Savings and Investments","Chancellor's other departments","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Office for Budget Responsibility","HM Treasury","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","55","[c]","36380","30000"
"New entrant CS","2022","Declared non-disabled","Analysis","Office of Rail and Road","Office of Rail and Road","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","UK Export Finance","UK Export Finance","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","UK Statistics Authority","UK Statistics Authority","260","[c]","32020","30710"
"New entrant CS","2022","Declared non-disabled","Analysis","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","35","[c]","40150","37300"
"New entrant CS","2022","Declared non-disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Crown Commercial Service","Cabinet Office","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Crown Prosecution Service","Attorney General's Departments","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Defence Equipment and Support","Ministry of Defence","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","25","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Department for Education (excl. agencies)","Department for Education","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","25","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Department for International Trade","Department for International Trade","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
